"province and territory","race or ethnicity","race or ethnicity","race or ethnicity","religion","religion","religion","sexual orientation","sexual orientation","sexual orientation","other","other","other","total","total","total"
"province and territory","2014","2015","2016","2014","2015","2016","2014","2015","2016","2014","2015","2016","2014","2015","2016"
"province and territory","number","number","number","number","number","number","number","number","number","number","number","number","number","number","number"
"newfoundland and labrador","0","2","0","0","1","1","0","0","1","0","1","0","0","4","2"
"prince edward island","0","1","2","0","0","1","0","1","0","0","0","0","0","2","3"
"nova scotia","16","14","9","5","8","5","5","6","7","0","1","0","27","32","21"
"new brunswick","1","6","12","2","6","2","2","4","2","1","0","2","6","17","18"
"quebec","82","84","118","93","127","116","27","12","27","44","38","51","258","270","327"
"ontario","315","308","273","246","224","242","70","69","76","23","21","19","660","628","612"
"manitoba","9","18","17","7","4","13","1","4","4","2","4","2","20","30","36"
"saskatchewan","9","11","16","2","5","6","2","0","4","0","0","3","13","16","29"
"alberta","86","108","92","30","56","25","20","19","19","2","10","1","139","193","139"
"british columbia","90","84","118","44","38","47","27","25","36","5","11","10","168","164","211"
"yukon","2","0","1","0","0","1","0","0","0","0","0","0","2","0","2"
"northwest territories","1","3","0","0","0","0","1","1","0","0","0","0","2","4","0"
"nunavut","0","2","8","0","0","1","0","0","0","0","0","0","0","2","9"
"canada","611","641","666","429","469","460","155","141","176","77","86","88","1,295","1,362","1,409"
