"club","season","division","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1964-65","first division","3","1","0","0","0","0","3","1"
"stoke city","1965-66","first division","6","0","0","0","0","0","6","0"
"stoke city","1966-67","first division","2","0","0","0","0","0","2","0"
"stoke city","total","total","11","1","0","0","0","0","11","1"
"aston villa","1966-67","first division","3","2","0","0","0","0","3","2"
"aston villa","1967-68","second division","10","2","2","1","0","0","12","3"
"aston villa","1968-69","second division","13","3","0","0","1","0","14","3"
"aston villa","total","total","26","7","2","1","1","0","29","8"
"walsall","1969-70","third division","36","6","7","1","1","0","44","7"
"walsall","1970-71","third division","41","7","2","1","2","1","45","9"
"walsall","1971-72","third division","27","4","5","2","1","0","33","6"
"walsall","1972-73","third division","21","6","0","2","1","0","23","7"
"walsall","total","total","125","23","16","5","4","1","146","29"
"port vale","1972-73","third division","17","9","0","0","0","0","17","9"
"port vale","1973-74","third division","43","16","4","2","1","0","48","18"
"port vale","1974-75","third division","39","5","2","0","0","0","41","5"
"port vale","total","total","99","30","6","2","1","0","106","32"
"scunthorpe united","1975-76","fourth division","19","5","0","0","0","0","19","5"
"career total","career total","career total","280","66","24","8","6","1","310","75"
