"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"brentford","1961-62","third division","24","1","4","0","0","0","28","1"
"brentford","1962-63","fourth division","29","0","1","0","1","0","31","0"
"brentford","1963-64","third division","2","0","0","0","0","0","2","0"
"brentford","1964-65","third division","42","1","4","0","0","0","46","1"
"brentford","1965-66","third division","34","2","2","0","0","0","36","2"
"brentford","1966-67","fourth division","45","0","4","0","3","0","52","0"
"brentford","1967-68","fourth division","43","5","2","0","1","0","46","5"
"brentford","1968-69","fourth division","43","2","2","0","5","0","49","2"
"brentford","1969-70","fourth division","43","4","2","0","3","1","48","5"
"brentford","1970-71","fourth division","45","0","5","0","1","0","51","0"
"brentford","1971-72","fourth division","37","2","0","0","1","0","38","2"
"brentford","1972-73","third division","42","0","1","0","2","0","45","0"
"brentford","1973-74","fourth division","40","0","1","0","1","0","42","0"
"brentford","1974-75","fourth division","3","0","0","0","1","0","4","0"
"career total","career total","career total","471","17","28","0","19","1","516","18"
