"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"arsenal","2009-10","premier league","0","0","0","0","0","0","0","0","0","0"
"yeovil town","2009-10","league one","4","0","-","-","4","0","none","none","none","none"
"yeovil town","2010-11","league one","37","0","1","0","1","0","1","0","40","0"
"yeovil town","2011-12","league one","44","0","3","0","1","0","0","0","48","0"
"yeovil town","2012-13","league one","39","0","0","0","2","0","6","0","47","0"
"yeovil town","2013-14","championship","42","2","2","0","2","1","-","-","46","3"
"yeovil town","total","total","166","2","6","0","6","1","7","0","185","3"
"bristol city","2014-15","league one","46","4","5","0","1","0","6","0","58","4"
"bristol city","2015-16","championship","33","0","2","0","1","0","-","-","36","0"
"bristol city","2016-17","championship","1","0","-","-","0","0","-","-","1","0"
"bristol city","total","total","80","4","7","0","2","0","6","0","95","4"
"leeds united","2016-17","championship","42","0","0","0","1","0","-","-","43","0"
"leeds united","2017-18","championship","27","0","0","0","4","0","-","-","31","0"
"leeds united","2018-19","championship","37","2","1","0","1","0","-","-","39","2"
"leeds united","total","total","106","2","1","0","6","0","-","-","113","2"
"career total","career total","career total","352","8","14","0","14","1","13","0","393","9"
