"selected census metropolitan areas and census agglomerations","total aboriginal identity female population","as a % of total female population","first nations female population","as a % of total female population","metis female population","as a % of total female population"
"selected census metropolitan areas and census agglomerations","total aboriginal identity female population","as a % of total female population","first nations female population","as a % of total female population","metis female population","as a % of total female population"
"selected census metropolitan areas and census agglomerations","total aboriginal identity female population","as a % of total female population","first nations female population","as a % of total female population","metis female population","as a % of total female population"
"census metropolitan area","","","","","",""
"winnipeg","40,935","11.2","16,695","4.6","23,340","6.4"
"edmonton","31,830","5.6","14,585","2.6","15,700","2.8"
"vancouver","27,305","2.3","16,490","1.4","9,705","0.8"
"toronto","19,645","0.7","12,650","0.4","5,395","0.2"
"calgary","17,015","2.8","7,645","1.3","8,440","1.4"
"ottawa-gatineau","15,985","2.6","8,595","1.4","6,175","1.0"
"montreal","13,945","0.7","7,955","0.4","4,495","0.2"
"saskatoon","12,860","9.9","6,460","5.0","6,075","4.7"
"regina","10,635","10.1","6,015","5.7","4,370","4.1"
"victoria","7,550","4.3","4,660","2.7","2,580","1.5"
"census agglomeration","","","","","",""
"prince albert","8,355","39.4","4,030","19.0","4,255","20.1"
"prince george","5,285","12.8","3,105","7.5","2,070","5.0"
"chilliwack","4,325","9.4","2,850","6.2","1,335","2.9"
"sault ste. marie","4,290","10.6","2,710","6.7","1,470","3.6"
"kamloops","4,070","8.3","2,370","4.8","1,540","3.1"
"wood buffalo","3,635","11.9","2,140","7.0","1,290","4.2"
"nanaimo","3,570","7.3","2,335","4.8","1,105","2.3"
"grande prairie","2,925","11.0","1,100","4.1","1,715","6.5"
"prince rupert","2,680","41.0","2,445","37.4","150","2.3"
"thompson","2,305","37.4","1,650","26.8","630","10.2"
