"summit year host","country","country","country","country","country"
"summit year host","brazil","russia","india","china","south africa"
"1st 2009 russia","luiz inacio lula da silva","dmitry medvedev","manmohan singh","hu jintao","n/a"
"2nd 2010 brazil","luiz inacio lula da silva","dmitry medvedev","manmohan singh","hu jintao","n/a"
"3rd 2011 china","dilma rousseff","dmitry medvedev","manmohan singh","hu jintao","jacob zuma"
"4th 2012 india","dilma rousseff","dmitry medvedev","manmohan singh","hu jintao","jacob zuma"
"5th 2013 south africa","dilma rousseff","vladimir putin","manmohan singh","xi jinping","jacob zuma"
"6th 2014 brazil","dilma rousseff","vladimir putin","narendra modi","xi jinping","jacob zuma"
"7th 2015 russia","dilma rousseff","vladimir putin","narendra modi","xi jinping","jacob zuma"
"8th 2016 india","michel temer","vladimir putin","narendra modi","xi jinping","jacob zuma"
"9th 2017 china","michel temer","vladimir putin","narendra modi","xi jinping","jacob zuma"
"10th 2018 south africa","michel temer","vladimir putin","narendra modi","xi jinping","cyril ramaphosa"
