"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2009","sf","11","11","48","625","13.0","50","2","0","0","0","0","0","1","1"
"2010","sf","16","15","55","741","13.5","60t","6","0","0","0","0","0","0","0"
"2011","sf","15","14","72","874","12.1","52t","4","1","6","6.0","0","0","0","0"
"2012","sf","16","16","85","1,105","13.0","49t","9","1","8","8.0","0","0","0","0"
"2013","sf","5","5","19","284","14.9","60","1","0","0","0","0","0","0","0"
"2014","sf","16","16","68","698","10.3","51","4","1","4","4.0","0","0","0","0"
"2015","oak","16","15","85","922","10.8","38t","9","0","0","0","0","0","1","0"
"2016","oak","16","16","89","1,003","12.1","56","8","0","0","0","0","0","2","0"
"2017","oak","14","14","58","618","10.7","41","8","0","0","0","0","0","1","0"
"2018","bal","16","16","54","607","11.2","27","3","0","0","0","0","0","0","0"
"total","total","141","138","633","7,477","11.8","60t","54","3","18","6.0","0","0","6","1"
