"","care facility","supportive housing","at home, separate households","at home, shared household"
"","percentage","percentage","percentage","percentage"
"symptoms of psychological distress","","","",""
"tired","56","48","43","54"
"worried or anxious","60","55","49","61"
"overwhelmed","36","33","26","40"
"lonely or isolated","17","13","11","27"
"short-tempered or irritable","34","36","29","46"
"dissatisfied","24","22","15","23"
"depressed","22","19","14","23"
"loss of appetite","12","11","8","15"
"problems sleeping","36","34","26","40"
"health consequences","","","",""
"caregiver's health affected","26","18","14","26"
"physically strenuous responsibilities","29","35","32","39"
"saw a health practitioner for own health issues resulting from caregiving responsibilities","20","14","12","20"
"was injured while performing caregiving duties","3","4","4","6"
"amount spent (non-reimbursed) during the year for various types of expenses","","","",""
"$0","33","34","43","37"
"$1 to less than $500","22","24","27","18"
"$500 to less than $2,000","27","24","18","17"
"$2,000 or more","18","18","12","27"
"social consequences","","","",""
"spent less time with spouse or partner","52","51","43","55"
"spent less time with children","44","37","33","36"
"spent less time with friends","51","42","38","53"
"spent less time on social activities","58","49","43","60"
"spent less time relaxing","57","53","49","53"
"strain on relationship with family members","33","23","21","29"
