"team","from","to","regular season record","regular season record","regular season record","post-season record","post-season record","post-season record"
"team","from","to","w","l","win %","w","l","win %"
"minnesota twins","1969","1969","97","65",".599","0","3",".000"
"detroit tigers","1971","1973","248","204",".549","2","3",".400"
"texas rangers","1973","1975","137","141",".493","0","0","-"
"new york yankees","1975","1978","279","192",".592","10","10",".500"
"new york yankees","1979","1979","55","40",".579","0","0","-"
"oakland athletics","1980","1982","215","218",".497","3","3",".500"
"new york yankees","1983","1983","91","71",".562","0","0","-"
"new york yankees","1985","1985","91","54",".628","0","0","-"
"new york yankees","1988","1988","40","28",".588","0","0","-"
"total","total","total","1253","1013",".553","15","19",".441"
"reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:"
