"party","votes","%","seats","seats","seats","seats","seats"
"party","votes","%","national","provincial","abroad","total","+/-"
"pais alliance","40,091,544","39.07","7","63","4","74","-26"
"creating opportunities-suma","20,589,460","20.06","3","29","2","34","+22"
"social christian party","16,319,989","15.90","3","12","0","15","+9"
"fuerza ecuador","4,870,863","4.75","1","0","0","1","new"
"democratic left","3,866,778","3.77","1","3","0","4","+2"
"patriotic society party","3,017,722","2.94","0","2","0","2","3"
"pachakutik plurinational unity movement - new country","2,740,043","2.67","0","4","0","4","-1"
"advance party","2,208,026","2.15","0","0","0","0","-5"
"social compromise force","2,010,565","1.96","0","0","0","0","new"
"popular unity","1,638,137","1.60","0","0","0","0","new"
"forward ecuadorian forward party","1,354,930","1.32","0","0","0","0","new"
"democratic center","1,174,467","1.14","0","0","0","0","new"
"movimiento concertacion","1,035,089","1.01","0","0","0","0","-1"
"socialist party","885,658","0.86","0","0","0","0","0"
"ecuadodian union","814,253","0.79","0","0","0","0","new"
"independents and regionalists","-","-","-","3","0","3","0"
"total","102,617,524","100","15","116","6","137","0"
"","","","","","","",""
"valid votes","8,149,486","77.79","","","","",""
"invalid/blank votes","2,326,745","22.21","","","","",""
"total","10,476,231","100","","","","",""
"registered voters/turnout","12,826,928","81.67","","","","",""
"source: cne","source: cne","source: cne","source: cne","source: cne","source: cne","source: cne","source: cne"
