"","canada outside quebec","quebec"
"","percent","percent"
"women whose fols is french","",""
"immigrants admitted between the ages of 25 and 59","-22.4","-26.5"
"immigrants admitted between the ages of 15 and 24","-12.4","-15.9"
"immigrants admitted before the age of 15","-7.8","-7.0"
"second generation","-1.3","-0.8"
"mixed generation","-1.7","-1.7"
"third generation or higher","..",".."
"women whose fols is english","",""
"immigrants admitted between the ages of 25 and 59","-22.9","-25.1"
"immigrants admitted between the ages of 15 and 24","-11.9","-14.9"
"immigrants admitted before the age of 15","-1.2","-1.2"
"second generation","3.8","2.6"
"mixed generation","0.7","-0.4"
"third generation or higher","..",".."
"men whose fols is french","",""
"immigrants admitted between the ages of 25 and 59","-24.9","-30.2"
"immigrants admitted between the ages of 15 and 24","-15.3","-20.9"
"immigrants admitted before the age of 15","-12.6","-17.2"
"second generation","-8.2","-8.7"
"mixed generation","-3.5","-5.2"
"third generation or higher","..",".."
"men whose fols is english","",""
"immigrants admitted between the ages of 25 and 59","-31.1","-29.6"
"immigrants admitted between the ages of 15 and 24","-24.2","-20.2"
"immigrants admitted before the age of 15","-11.3","-10.6"
"second generation","-2.6","-1.9"
"mixed generation","-2.3","-0.7"
"third generation or higher","..",".."
