"","2000","2008","2015","2016","share in 2000","share in 2016","growth rate 2000 to 2016"
"","billions of dollars","billions of dollars","billions of dollars","billions of dollars","%","%","%"
"imports of capital goods","","","","","","",""
"all countires","66.9","76.1","108.8","108.3","100.0","100.0","3.1"
"united states","43.8","41.6","54.3","52.2","65.5","48.2","1.1"
"china","1.8","11.0","21.2","20.6","2.7","19.0","16.5"
"mexico","2.6","4.2","9.6","9.6","3.9","8.8","8.5"
"south korea","1.6","1.3","1.9","4.2","2.4","3.9","6.1"
"germany","1.9","3.1","4.2","3.9","2.8","3.6","4.7"
"japan","3.8","3.1","3.0","3.3","5.7","3.0","-1.0"
"vietnam","0.0","0.0","1.1","1.6","0.0","1.5","56.3"
"italy","0.7","0.9","1.4","1.3","1.0","1.2","4.4"
"taiwan","1.6","1.1","1.3","1.3","2.4","1.2","-1.5"
"united kingdom","2.6","1.0","1.3","1.2","3.9","1.1","-4.9"
"exports of capital goods","","","","","","",""
"all countires","60.2","44.4","48.5","46.5","100.0","100.0","-1.6"
"united states","53.5","31.9","35.5","33.7","88.8","72.5","-2.8"
"china","0.3","0.7","1.2","1.3","0.6","2.9","8.9"
"united kingdom","1.3","1.5","1.2","1.2","2.1","2.5","-0.5"
"malta","0.0","0.0","1.0","0.7","0.0","1.5","40.3"
"germany","0.7","0.8","0.5","0.7","1.2","1.5","-0.1"
"mexico","0.1","0.5","0.6","0.7","0.2","1.5","10.8"
"australia","0.3","0.7","0.5","0.5","0.6","1.1","2.6"
"japan","0.2","0.3","0.3","0.4","0.4","0.9","3.5"
"spain","0.1","0.2","0.1","0.4","0.2","0.9","8.0"
"switzerland","0.1","0.1","0.1","0.4","0.2","0.9","9.7"
