"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","app","goals","app","goals","app","goals","app","goals","app","goals"
"queen of the south","2002-03","scottish first division","4","0","0","0","0","0","0","0","4","0"
"queen of the south","2003-04","scottish first division","29","0","2","0","3","1","0","0","34","1"
"queen of the south","2004-05","scottish first division","23","1","2","0","1","0","2","0","28","1"
"queen of the south","2005-06","scottish first division","33","4","2","0","0","0","1","1","36","5"
"queen of the south","2006-07","scottish first division","18","0","2","0","2","0","2","0","24","0"
"queen of the south","2007-08","scottish first division","28","5","6","2","0","0","0","0","34","7"
"queen of the south","2008-09","scottish first division","29","3","1","0","0","0","5","0","35","3"
"queen of the south","2009-10","scottish first division","35","6","1","0","3","1","3","0","42","7"
"queen of the south","2010-11","scottish first division","27","6","1","0","3","0","5","4","36","10"
"queen of the south","total","total","226","25","17","2","12","2","18","5","273","34"
"dunfermline athletic","2011-12","scottish premier league","26","2","1","0","2","0","0","0","29","2"
"dunfermline athletic","2012-13","scottish first division","1","0","0","0","0","0","0","0","1","0"
"dunfermline athletic","total","total","27","2","1","0","2","0","0","0","30","2"
"queen of the south","2012-13","scottish second division","25","2","2","0","1","0","0","0","28","2"
"queen of the south","2013-14","scottish championship","25","1","2","0","2","0","2","0","31","1"
"queen of the south","2014-15","scottish championship","5","0","2","0","0","0","0","0","7","0"
"queen of the south","total","total","55","3","6","0","3","0","2","0","66","3"
"career total","career total","career total","308","30","24","2","17","2","20","5","369","39"
