"state","total","agriculture","energy","environment and natural resources","health","transportation","other"
"united statesa","2205147","127363","312114","413230","939828","247780","164831"
"california","500072","7567","194354","30382","221873","35201","10694"
"new york","365552","2166","40788","21641","244408","6851","49699"
"florida","191599","18530","1117","57934","102896","11121","0"
"texas","185094","809","0","14491","149991","19803","0"
"ohio","94299","0","11049","42607","3247","10142","27255"
"pennsylvania","75024","787","2157","9129","52399","2438","8114"
"connecticut","55817","4229","1944","10303","28804","5410","5127"
"new mexico","52303","28426","2978","3348","11313","2787","3451"
"virginia","43616","1121","6264","9600","6250","17555","2827"
"utah","38168","2035","4836","18246","8531","1471","3049"
"all others","603603","61694","46629","195547","110116","135001","54616"
"puerto ricob","5674","683","400","150","3123","560","757"
