"province and territory","total crime","total crime","total crime","total crime","violent crime","violent crime","violent crime","property crime","property crime","property crime","other criminal code offences","other criminal code offences","other criminal code offences"
"province and territory","number","rate","percent change 2014 to 2015","percent change 2005 to 2015","number","rate","percent change 2014 to 2015","number","rate","percent change 2014 to 2015","number","rate","percent change 2014 to 2015"
"newfoundland and labrador","30,575","5,793","4","-6","7,204","1,365","9","18,151","3,439","5","5,220","989","-6"
"prince edward island","6,065","4,141","-12","-46","1,078","736","-13","4,206","2,872","-13","781","533","-6"
"nova scotia","46,864","4,970","-9","-39","11,057","1,173","-7","27,776","2,945","-11","8,031","852","-6"
"new brunswick","37,189","4,933","10","-23","8,939","1,186","1","22,460","2,979","15","5,790","768","7"
"quebec","279,859","3,387","-3","-36","79,093","957","2","166,181","2,011","-4","34,585","419","-7"
"ontario","489,195","3,547","0","-33","108,353","786","0","314,915","2,283","1","65,927","478","0"
"manitoba","105,557","8,161","5","-31","23,157","1,790","4","60,863","4,706","9","21,537","1,665","-3"
"saskatchewan","126,723","11,178","6","-21","22,899","2,020","2","70,507","6,220","10","33,317","2,939","0"
"alberta","333,924","7,957","12","-19","54,206","1,292","3","216,619","5,162","19","63,099","1,504","-1"
"british columbia","367,354","7,844","3","-33","56,994","1,217","6","233,159","4,979","2","77,201","1,648","6"
"yukon","8,835","23,605","0","6","1,533","4,096","-9","3,604","9,629","4","3,698","9,880","0"
"northwest territories","19,538","44,316","1","4","3,348","7,594","10","10,315","23,396","2","5,875","13,326","-3"
"nunavut","11,997","32,495","4","-7","2,934","7,947","-2","5,559","15,057","8","3,504","9,491","5"
"canada","1,863,675","5,198","3","-29","380,795","1,062","2","1,154,315","3,220","4","328,565","916","0"
