"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"kalmar","1985","allsvenskan","1","0","none","none","none","none","none","none"
"kalmar","1986","allsvenskan","17","0","none","none","none","none","none","none"
"kalmar","1987","swedish football division 1","16","3","none","none","none","none","none","none"
"kalmar","total","total","34","3","none","none","none","none","none","none"
"osters","1988","allsvenskan","20","2","none","none","none","none","none","none"
"osters","1989","swedish football division 1","26","14","none","none","none","none","none","none"
"osters","1990","allsvenskan","22","5","none","none","none","none","none","none"
"osters","1991","allsvenskan","31","13","none","none","none","none","none","none"
"osters","1992","allsvenskan","28","8","none","none","none","none","none","none"
"osters","total","total","127","42","none","none","none","none","none","none"
"norrkoping","1993","allsvenskan","23","8","none","none","none","none","none","none"
"norrkoping","1994","allsvenskan","19","0","none","none","none","none","none","none"
"norrkoping","1995","allsvenskan","25","0","none","none","none","none","none","none"
"norrkoping","1996","allsvenskan","6","1","none","none","none","none","none","none"
"norrkoping","1997","allsvenskan","9","2","none","none","none","none","none","none"
"norrkoping","total","total","82","11","none","none","none","none","none","none"
"port vale","1996-97","first division","11","1","1","0","0","0","12","1"
"port vale","1997-98","first division","33","5","0","0","2","0","35","5"
"port vale","1998-99","first division","7","0","0","0","1","0","8","0"
"port vale","total","total","51","6","1","0","3","0","55","6"
"norrkoping","1999","allsvenskan","4","0","none","none","none","none","none","none"
"norrkoping","2000","allsvenskan","5","0","none","none","none","none","none","none"
"norrkoping","2001","allsvenskan","6","0","none","none","none","none","none","none"
"norrkoping","total","total","15","0","none","none","none","none","none","none"
"total","total","total","309","62","1","0","3","0","313","62"
