"selected characteristics of members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours"
"selected characteristics of members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","total sexualized behaviours","inappropriate verbal or non-verbal communication","sexually explicit materials","physical contact or suggested sexual relations","total discriminatory behaviours","discrimination on the basis of sex","discrimination on the basis of sexual orientation or gender identity"
"selected characteristics of members","number","percent","percent","percent","percent","percent","percent","percent","percent"
"environmental command","","","","","","","","",""
"canadian army","15,140","70","69","68","15","13","26","25","7"
"royal canadian navy","5,630","75","74","73","12","17","30","29","10"
"royal canadian air force","8,760","71","70","69","11","12","26","25","7"
"military personnel command","3,220","68","66","65","8","13","28","26","8"
"other","6,360","69","67","66","8","11","24","23","5"
"gender","","","","","","","","",""
"women","6,010","75","72","71","11","23","40","38","12"
"men","32,800","70","69","68","12","11","24","23","6"
"gender diverse","100","76","73","66","31","29","45","40","26"
"indigenous identity","","","","","","","","",""
"indigenous (first nations, metis, inuit) person","1,490","67","65","63","13","14","27","25","9"
"non-indigenous person","37,560","71","69","68","12","13","26","25","7"
"persons with disabilities","","","","","","","","",""
"persons with disabilities","1,570","72","69","67","14","18","33","32","12"
"persons without disabilities","37,430","70","69","68","12","13","26","25","7"
"visible minority","","","","","","","","",""
"visible minority","2,660","70","68","67","14","16","31","30","10"
"non-visible minority","36,360","71","69","68","12","13","26","25","7"
"rank","","","","","","","","",""
"junior non-commissioned member","21,640","73","72","71","16","16","28","27","8"
"senior non-commissioned member","8,840","66","65","64","9","9","21","20","5"
"junior officer","5,040","74","72","71","8","13","31","30","7"
"senior officer","3,610","65","61","60","4","8","23","22","4"
"age group","","","","","","","","",""
"24 years and younger","3,390","73","72","71","19","19","30","28","9"
"25 to 29 years","7,810","76","75","74","17","17","32","31","8"
"30 to 34 years","8,340","74","73","72","13","14","29","28","7"
"35 to 39 years","6,980","71","70","69","12","12","26","25","7"
"40 to 44 years","5,050","68","67","65","9","11","22","21","6"
"45 to 49 years","3,770","65","63","62","7","9","22","21","5"
"50 years and older","3,810","59","57","56","6","8","20","19","6"
"total","39,150","70","69","68","12","13","26","25","7"
