"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"carlisle united","1966-67","second division","1","0","0","0","0","0","1","0"
"carlisle united","1967-68","second division","27","0","0","0","1","0","28","0"
"carlisle united","1968-69","second division","4","0","0","0","1","0","5","0"
"total","total","32","0","0","0","2","0","34","0","none"
"cardiff city","1966-67","second division","5","0","0","0","0","0","5","0"
"cardiff city","1967-68","second division","9","1","0","0","1","0","10","1"
"cardiff city","total","total","14","1","0","0","1","0","15","1"
"barnsley","1970-71","third division","43","3","4","0","0","0","47","3"
"barnsley","1971-72","third division","42","0","3","0","2","0","47","0"
"barnsley","1972-73","fourth division","40","4","2","0","2","0","44","4"
"barnsley","total","total","125","7","9","0","4","0","138","7"
"grimsby town","1973-74","third division","29","2","4","0","4","1","37","3"
"port vale","1974-75","third division","24","2","2","0","1","0","27","2"
"career total","career total","career total","224","12","15","0","12","1","251","13"
