"","landing year","landing year","landing year","landing year","landing year","landing year","landing year","landing year"
"","all new immigrants","all new immigrants","all new immigrants","all new immigrants","principal applicants in the economic class","principal applicants in the economic class","principal applicants in the economic class","principal applicants in the economic class"
"","1981","1988","1999","2010","1981","1988","1999","2010"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"skilled worker and provincial nominee principal applicants","52.3","40.6","51.5","46.6","94.6","90.7","94.8","96.1"
"business class principal applicants","3.0","4.2","2.9","1.9","5.4","9.3","5.3","3.9"
"economic class spouses and dependants","3.5","7.8","8.8","19.2","..","..","..",".."
"family class","25.4","21.2","23.2","20.1","..","..","..",".."
"refugees","15.8","25.4","13.0","12.2","..","..","..",".."
"others","0.1","1.0","0.7","0.0","..","..","..",".."
"aged 20 to 24 at landing","23.0","18.4","9.7","9.3","15.5","8.2","2.8","2.8"
"aged 25 to 29 at landing","27.8","24.4","24.4","22.2","27.6","22.1","24.0","22.2"
"aged 30 to 34 at landing","21.1","22.6","25.8","24.4","24.9","25.5","29.1","27.3"
"aged 35 to 39 at landing","12.0","16.6","19.0","18.9","15.3","21.2","22.1","21.4"
"aged 40 to 44 at landing","7.2","9.6","12.0","12.8","9.4","13.5","14.0","13.7"
"aged 45 to 49 at landing","4.6","5.1","6.1","8.2","4.9","6.8","6.4","9.0"
"aged 50 to 54 at landing","4.3","3.2","3.0","4.2","2.5","2.8","1.7","3.7"
"less than high school graduation","18.7","17.6","7.0","8.2","13.0","12.6","1.6","4.4"
"high school graduation","29.6","32.2","22.4","20.2","24.3","23.6","7.4","8.0"
"some postsecondary education","28.7","25.9","17.8","21.7","33.7","30.5","15.0","20.9"
"bachelor's degree","16.9","18.6","37.6","32.4","20.2","24.9","52.1","38.3"
"graduate degree","6.1","5.6","15.3","17.6","8.8","8.5","24.0","28.4"
"northern and western europe","23.5","9.0","6.6","7.2","35.7","14.5","8.1","9.2"
"southern and eastern europe","16.6","19.7","16.0","7.9","11.3","13.1","16.0","8.6"
"africa","5.4","7.3","9.4","15.2","6.8","7.0","7.9","17.4"
"east asia","11.0","17.7","22.4","11.1","13.7","28.1","31.8","12.9"
"south asia","8.3","9.1","22.2","20.6","5.6","7.2","20.0","20.7"
"southeast asia","13.9","13.7","6.3","15.9","5.1","9.2","3.5","14.1"
"other asian countries","3.2","8.2","7.0","7.3","4.2","9.2","6.7","6.9"
"caribbean and central and south america","10.6","12.0","7.7","11.7","9.8","8.5","4.6","7.8"
"oceania and other countries","1.7","1.1","0.8","1.4","1.7","0.9","0.4","1.4"
"united states","5.8","2.3","1.6","1.9","6.2","2.3","1.0","1.0"
"french mother tongue","1.8","1.0","1.5","1.7","2.4","1.6","1.9","2.3"
"english or french mother tongue, bilingual","1.9","1.2","1.9","3.9","2.5","1.9","2.7","6.1"
"other mother tongue, speaking english","25.6","40.0","55.7","58.0","26.2","52.1","66.0","56.8"
"other mother tongue, speaking french","4.3","2.6","4.0","4.3","5.2","2.7","2.9","3.1"
"other mother tongue, bilingual","3.1","3.6","4.6","11.2","3.5","5.0","6.1","16.0"
"not speaking english or french","32.8","36.4","22.7","11.6","20.8","18.7","12.7","8.3"
"english mother tongue","30.5","15.3","9.6","9.4","39.4","17.9","7.8","7.4"
"regional unemployment rate","8.9","5.8","5.5","6.4","9.0","5.8","5.5","6.3"
"over $50,000 a year","..","1.4","2.4","7.8","..","2.4","3.6","13.0"
"from $20,000 to $50,000 a year","..","3.4","5.4","12.9","..","3.4","4.2","16.5"
"from $0 to $20,000 a year","..","4.5","8.5","8.2","..","3.3","5.1","7.2"
"newfoundland and labrador","0.3","0.2","0.1","0.3","0.3","0.2","0.1","0.3"
"prince edward island","0.1","0.1","0.1","0.2","0.1","0.1","0.0","0.2"
"nova scotia","1.1","0.7","0.6","0.8","1.2","0.8","0.5","0.8"
"new brunswick","0.5","0.3","0.2","0.6","0.6","0.3","0.2","0.8"
"quebec","2.1","1.5","1.8","3.3","2.1","1.5","1.7","3.9"
"ontario","16.9","15.4","13.9","9.2","18.7","13.3","14.6","7.5"
"manitoba","4.2","2.8","1.8","6.0","3.0","1.8","1.6","7.9"
"saskatchewan","1.9","0.7","0.7","3.2","1.5","0.6","0.6","4.4"
"alberta","14.6","7.5","7.3","14.9","15.4","6.7","6.4","16.0"
"british columbia","4.0","2.2","2.3","2.9","3.8","1.9","1.6","2.6"
"the territories","0.3","0.3","0.1","0.3","0.3","0.3","0.1","0.3"
"montreal","13.2","10.4","12.4","16.0","14.9","11.6","11.3","18.8"
"toronto","30.8","46.3","44.9","30.5","28.6","47.9","47.5","25.0"
"vancouver","10.2","11.7","13.9","12.0","9.4","13.0","13.7","11.5"
