"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dnister ovidiopol","2009-10","persha liha","29","7","1","0","none","none","30","7","none","none"
"ekranas","2010","a lyga","9","0","none","none","none","none","9","0","none","none"
"tavriya simferopol","2010-11","ukrainian premier league","5","1","0","0","none","none","5","1","none","none"
"tavriya simferopol","2011-12","ukrainian premier league","0","0","0","0","none","none","0","0","none","none"
"tavriya simferopol","total","total","5","1","0","0","none","none","none","none","5","1"
"bukovyna chernivtsi","2011-12","persha liha","3","0","0","0","none","none","3","0","none","none"
"odesa","2012-13","persha liha","5","1","0","0","none","none","5","1","none","none"
"mykolaiv","2012-13","persha liha","12","4","0","0","none","none","12","4","none","none"
"mykolaiv","2013-14","persha liha","16","3","2","0","none","none","18","3","none","none"
"mykolaiv","total","total","28","7","2","0","none","none","none","none","30","7"
"helios kharkiv","2013-14","persha liha","4","0","0","0","none","none","4","0","none","none"
"sogdiana jizzakh","2014","uzbek league","12","4","none","none","none","none","12","4","none","none"
"nasaf","2015","uzbek league","3","2","0","0","4","0","none","none","7","2"
"istiklol","2016","tajik league","3","0","0","0","5","2","1","2","9","4"
"dacia chisinau","2016","divizia nationala","26","5","1","0","none","none","1","0","28","5"
"career total","career total","career total","127","27","4","0","9","2","2","2","142","31"
