"","both sexes","both sexes","both sexes","both sexes","men","men","men","men","women","women","women","women"
"","number '000","%","95% confidence interval","95% confidence interval","number '000","%","95% confidence interval","95% confidence interval","number '000","%","95% confidence interval","95% confidence interval"
"","number '000","%","from","to","number '000","%","from","to","number '000","%","from","to"
"level of hearing difficulty","","","","","","","","","","","",""
"none","12,347","93.5","93.0","93.9","5,804","92.1","91.4","92.8","6,543","94.7","94.2","95.1"
"any hearing difficulty","864","6.5","6.1","7.0","497","7.9","7.2","8.6","367","5.3","4.9","5.8"
"mild","431","3.3","3.0","3.6","256","4.1","3.6","4.5","175","2.5","2.2","2.9"
"moderate or severe","433","3.3","3.0","3.6","241","3.8","3.4","4.3","192","2.8","2.5","3.1"
"hearing status","","","","","","","","","","","",""
"corrected","592","4.5","4.2","4.8","339","5.4","4.9","5.9","254","3.7","3.3","4.1"
"uncorrected","265","2.0","1.8","2.3","156","2.5","2.1","3.0","109","1.6","1.3","1.9"
"age group","","","","","","","","","","","",""
"45 to 59","192","2.7","2.2","3.2","112","3.2","2.4","4.2","80","2.2","1.6","2.9"
"60 to 74","291","6.9","6.3","7.6","196","9.8","8.7","10.9","95","4.3","3.7","5.1"
"75 or older","382","20.8","19.4","22.2","189","24.6","22.3","27.0","193","18.0","16.5","19.6"
