"variables","government-assisted refugees","government-assisted refugees","privately sponsored refugees","privately sponsored refugees"
"variables","men","women","men","women"
"variables","percent","percent","percent","percent"
"world region","","","",""
"south and central america, caribbean","13.7","16.9","1.8","2.6"
"eastern europe","23.7","23.5","43.1","38.9"
"southern europe","6.1","8.2","1.7","2.3"
"africa","14.9","13.5","15.0","13.9"
"middle east, west central asia","17.2","16.8","15.0","17.5"
"southeast asia","22.5","19.7","22.1","23.8"
"other asia","1.9","1.4","1.2","1.1"
"highest level of education at landing","","","",""
"less than high school","53.0","63.3","48.3","58.3"
"high school diploma or trades certificate","26.8","19.4","29.7","22.4"
"some postsecondary education","6.8","7.0","8.6","8.2"
"bachelor's degree or above","13.4","10.2","13.4","11.1"
"knowledge of official language","","","",""
"english and/or french","30.9","22.0","29.9","23.5"
"neither english nor french","69.1","78.0","70.1","76.5"
"age at arrival","","","",""
"20 to 29","50.3","49.1","49.8","50.7"
"30 to 39","34.7","34.9","35.3","33.0"
"40 to 49","12.8","13.3","12.3","12.9"
"50 to 54","2.2","2.7","2.6","3.4"
"year of landing","","","",""
"1980 to 1984","23.2","19.9","16.1","17.2"
"1985 to 1989","28.3","22.8","29.1","26.3"
"1990 to 1994","15.6","15.3","33.1","30.5"
"1995 to 1999","12.9","14.6","5.9","7.3"
"2000 to 2004","11.2","14.3","7.1","8.6"
"2005 to 2009","8.8","12.9","8.7","10.1"
"place of residence at tax filing time, year 1","","","",""
"montreal","8.5","8.6","6.9","7.5"
"toronto","26.6","24.0","41.2","39.1"
"vancouver","9.7","10.3","6.4","6.7"
"second-tier metropolitan areas","28.1","28.9","23.6","24.1"
"other small census metropolitan areas","15.8","17.3","12.5","12.8"
"small urban or rural areas","8.6","8.7","8.0","7.8"
"no information on place of residence","2.6","2.2","1.3","2.1"
