"type of offence","1999","1999","2004","2004","2009","2009","2014","2014"
"type of offence","number","rate","number","rate","number","rate","number","rate"
"sexual assault,","502","21","546","21","677","24","633","22"
"robbery","228","9","274","11","368","13","190","6"
"physical assault","1,961","80","1,931","75","2,222","80","1,422","48"
"total violent victimization","2,691","111","2,751","106","3,267","118","2,245","76"
"break and enter","587","48","505","39","630","47","441","31"
"motor vehicle/parts theft","501","41","571","44","453","34","261","18"
"theft of household property","760","62","1,136","88","1,109","83","766","54"
"vandalism","808","66","993","77","992","74","561","40"
"total household victimization","2,656","218","3,206","248","3,184","237","2,029","143"
"theft of personal property","1,831","75","2,408","93","2,981","108","2,154","73"
