"relationship","median elapsed time(in days)"
"types of intimate partner violence (ipv) cases",""
"single-charge cases","99"
"multiple-charge cases","143"
"cases with a verdict of not guilty","139"
"cases with a guilty verdict","113"
"single-conviction cases","99"
"multiple-conviction cases","129"
"total ipv cases","124"
"type of non-intimate partner violence (non-ipv) cases",""
"single-charge cases","134"
"multiple-charge cases","163"
"cases with a verdict of not guilty","175"
"cases with a guilty verdict","137"
"single-conviction cases","131"
"multiple-conviction cases","143"
"total non-ipv cases","151"
"total cases of violence","134"
