"place","athlete","preliminary","preliminary","preliminary","preliminary","preliminary","preliminary","final","final","final","final","final","final","final","final","final","final","mark"
"place","athlete","1.60","1.70","1.75","1.80","1.83","qual","1.60","1.70","1.75","1.80","1.83","1.85","1.87","1.89","1.91","1.93","mark"
"-","alma richards","o","o","o","xo","o","qf","o","o","o","xo","xxo","o","xxo","xxo","xxo","o","1.93"
"-","hans liesche","o","o","o","o","o","qf","o","o","o","o","o","o","o","xo","xo","xxx","1.91"
"-","george horine","o","o","o","o","xo","qf","o","o","o","o","xo","o","o","xo","xxx","--","1.89"
"4","egon erickson","o","o","o","xo","o","qf","o","o","o","o","o","xo","xo","xxx","--","--","1.87"
"4","jim thorpe","o","o","xo","o","xxo","qf","xo","o","o","o","o","o","o","xxx","--","--","1.87"
"6","harry grumpelt","o","o","xo","o","o","qf","o","o","o","xo","o","xxo","xxx","--","--","--","1.85"
"6","john johnstone","--","o","o","xo","xo","qf","o","o","o","o","xxo","xo","xxx","--","--","--","1.85"
"8","karl-axel kullerstrand","o","o","o","o","o","qf","o","o","o","xo","o","xxx","--","--","--","--","1.83"
"9","timothy carroll","xo","o","xxo","o","xo","qf","o","o","o","xo","xxx","--","--","--","--","--","1.80"
"9","ivan wardener","o","o","o","o","o","qf","o","o","o","xo","xxx","--","--","--","--","--","1.80"
"11","benjamin howard baker","xo","o","o","o","o","qf","o","o","o","xxx","--","--","--","--","--","--","1.75"
"","","","","","","","","","","","","","","","","","",""
"12","jervis burdick","o","o","o","xo","xxx","","","","","","","","","","","","1.80"
"13","wesley oler","o","o","o","xxx","--","","","","","","","","","","","","1.75"
"13","richard sjoberg","o","o","o","xxx","--","","","","","","","","","","","","1.75"
"13","arvo laine","o","xo","o","xxx","--","","","","","","","","","","","","1.75"
"13","harold enright","o","o","xo","xxx","--","","","","","","","","","","","","1.75"
"13","gosta hallberg","x--","o","xo","xxx","--","","","","","","","","","","","","1.75"
"13","otto monsen","--","xo","xo","xxx","--","","","","","","","","","","","","1.75"
"13","gerhard meling","--","xo","xxo","xxx","--","","","","","","","","","","","","1.75"
"13","ole aarnæs","o","xo","xxo","xxx","--","","","","","","","","","","","","1.75"
"13","andre labat","o","xo","xxo","xxx","--","","","","","","","","","","","","1.75"
"13","otto rohr","o","xo","xxo","xxx","--","","","","","","","","","","","","1.75"
"23","thomas o'donahue","--","o","--","--","--","","","","","","","","","","","","1.70"
"23","platt adams","o","o","--","--","--","","","","","","","","","","","","1.70"
"23","paulus af uhr","x--","xo","xxx","--","--","","","","","","","","","","","","1.70"
"23","ragnar mattson","x--","xo","xxx","--","--","","","","","","","","","","","","1.70"
"23","geo andre","xo","xo","xxx","--","--","","","","","","","","","","","","1.70"
"28","thage brauer","o","x--","--","--","--","","","","","","","","","","","","1.60"
"28","rodolfo hammersley","o","x--","--","--","--","","","","","","","","","","","","1.60"
"28","gustaf holmer","o","x--","--","--","--","","","","","","","","","","","","1.60"
"28","lajos ludinszky","o","x--","--","--","--","","","","","","","","","","","","1.60"
"28","michel meerz","o","x--","--","--","--","","","","","","","","","","","","1.60"
"28","alfredo pagani","o","xxx","--","--","--","","","","","","","","","","","","1.60"
"34","marius delaby","--","x--","--","--","--","","","","","","","","","","","","none"
"34","armand estang","--","x--","--","--","--","","","","","","","","","","","","none"
"34","john nicholson","--","xxx","--","--","--","","","","","","","","","","","","none"
"34","angelo tonini","x--","xxx","--","--","--","","","","","","","","","","","","none"
