"","women","women","men","men"
"","with transfers","without transfers","with transfers","without transfers"
"","percent","percent","percent","percent"
"newfoundland and labrador","17.6","38.6","13.6","33.7"
"prince edward island","16.9","37.5","11.7","33.3"
"nova scotia","16.3","35.0","15.9","32.9"
"new brunswick","16.1","36.2","13.3","31.9"
"quebec","14.7","35.7","13.4","31.8"
"ontario","15.0","30.0","12.2","25.1"
"manitoba","13.6","29.8","13.0","27.1"
"saskatchewan","12.7","25.5","10.6","21.6"
"alberta","7.9","21.3","8.2","18.9"
"british columbia","12.9","27.2","12.8","25.1"
