"season","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"season","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"2009","jacksonville jaguars","15","0","39","202","5.2","28","1","16","101","6.3","14","0","0","0"
"2010","jacksonville jaguars","13","3","84","459","5.5","74","4","26","223","8.6","25","0","0","0"
"2011","jacksonville jaguars","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury"
"2012","jacksonville jaguars","10","6","101","283","2.8","21","2","19","130","6.8","26","0","3","1"
"2013","oakland raiders","15","8","163","733","4.5","80","6","36","292","8.1","24","0","0","0"
"2014","new york giants","11","9","167","639","3.8","18","4","30","226","7.5","27","0","1","1"
"2015","new york giants","16","16","195","863","4.4","38","3","29","296","10.2","51","1","3","2"
"2016","new york giants","13","12","181","593","3.3","25","3","35","201","5.7","24","1","1","0"
"none","total","93","54","930","3,772","4.1","80","23","191","1,469","7.7","51","2","8","4"
