"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"milton keynes dons","2008-09","league one","1","0","0","0","1","0","1","0","3","0"
"milton keynes dons","2009-10","league one","6","0","0","0","0","0","0","0","6","0"
"milton keynes dons","2010-11","league one","14","0","0","0","1","0","0","0","15","0"
"milton keynes dons","2011-12","league one","25","0","2","0","2","0","1","0","30","0"
"milton keynes dons","2012-13","league one","32","2","6","1","3","0","1","0","42","3"
"milton keynes dons","total","total","78","2","8","1","7","0","3","0","96","3"
"leyton orient","2011-12","league one","3","0","0","0","0","0","0","0","3","0"
"brighton & hove albion","2013-14","championship","1","0","3","0","0","0","1","0","5","0"
"brighton & hove albion","2014-15","championship","5","0","1","0","4","0","0","0","10","0"
"brighton & hove albion","2015-16","championship","0","0","0","0","0","0","0","0","0","0"
"brighton & hove albion","total","total","6","0","4","0","4","0","1","0","15","0"
"gillingham","2014-15","league one","3","0","0","0","0","0","1","0","4","0"
"fleetwoood town","2014-15","league one","13","0","0","0","0","0","0","0","13","0"
"leyton orient","2015-16","league two","6","0","0","0","0","0","0","0","6","0"
"gillingham","2015-16","league one","6","0","0","0","0","0","0","0","6","0"
"gillingham","total","total","28","0","0","0","0","0","1","0","29","0"
"charlton athletic","2016-17","league one","21","1","1","1","0","0","3","0","25","2"
"charlton athletic","total","total","21","1","1","1","0","0","3","0","25","2"
"bradford city","2017-18","league one","18","0","0","0","0","0","0","0","18","0"
"bradford city","2018-19","league one","28","0","3","0","1","0","1","0","33","0"
"bradford city","total","total","46","0","3","0","1","0","1","0","51","0"
"career total","career total","career total","182","3","16","2","12","0","10","0","220","5"
