"jurisdiction","administration and central services","custody","community supervision","national and provincial parole board","total","change from 2014/2015","average daily inmate cost in 2015/2016","per capita cost in 2015/2016"
"jurisdiction","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","percent","dollars","dollars"
"newfoundland and labrador","368","32,148","4,319","..","36,835","6","245","70"
"prince edward island","444","8,407","1,380","..","10,231","3","274","70"
"nova scotia","4,540","45,081","8,260","..","57,882","19","255","61"
"new brunswick","1,334","31,591","3,988","..","36,913","2","195","49"
"quebec","10,716","398,438","72,595","4,690","486,439","3","214","59"
"ontario","73,091","627,740","115,060","2,233","818,123","2","215","59"
"manitoba","4,559","180,950","19,922","..","205,431","6","204","159"
"saskatchewan","5,697","110,061","15,117","..","130,875","3","166","115"
"alberta","7,999","191,447","40,162","..","239,608","32","142","57"
"british columbia","12,206","196,347","55,012","..","263,565","3","202","56"
"yukon","359","10,936","2,280","..","13,575","4","316","363"
"northwest territories","1,377","26,868","4,182","..","32,428","8","388","736"
"nunavut","6,332","27,668","3,172","..","37,172","2","558","1,007"
"provincial and territorial-total","129,021","1,887,683","345,449","6,922","2,369,076","6","203","66"
"federal",".","1,363,884","137,302","46,300","2,235,401","-9","283","62"
"total-all jurisdictions",".",".",".","53,222","4,604,476","-2","232","128"
