"jurisdiction","remand","remand","custody","custody","custody","custody","custody","custody"
"jurisdiction","remand","remand","sentenced custody","sentenced custody","other temporary custody","other temporary custody","total custody","total custody"
"jurisdiction","number","percent female","number","percent female","number","percent female","number","percent female"
"newfoundland and labrador","759","11","1,125","11","85","6","1,969","11"
"prince edward island","207","13","547","18",".","..","754","17"
"nova scotia","2,859","15","1,755","12","235","6","4,849","13"
"new brunswick","1,987","12","2,306","12","443","17","4,736","13"
"quebec","30,106","11","10,290","9","3,447","14","43,843","11"
"ontario","46,259","14","24,845","10","4,553","9","75,657","12"
"manitoba","12,717","18","6,229","13","7,456","24","26,402","18"
"saskatchewan","7,470","16","4,399","13","316","9","12,185","15"
"british columbia","13,290","11","9,546","11","1,402","7","24,238","11"
"yukon","423","15","256","13","12","8","691","14"
"northwest territories","440","5","374","8",".","..","814","6"
"nunavut","547","4","517","4",".","..","1,064","4"
"provincial and territorial - total","117,064","13","62,189","11","17,949","16","197,202","13"
"federal","..","..","4,849","7","2,716","5","7,565","7"
"total - all jurisdictions","117,064","13","67,038","10","20,665","15","204,767","13"
