"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"birmingham","1911-12","second division","7","0","0","0","7","0"
"birmingham","1912-13","second division","19","0","0","0","19","0"
"birmingham","1913-14","second division","16","0","2","0","18","0"
"birmingham","1914-15","second division","4","0","0","0","4","0"
"birmingham","1919-20","second division","24","0","2","0","26","0"
"birmingham","1920-21","second division","40","2","1","0","43","2"
"birmingham","1921-22","first division","35","1","0","0","35","1"
"birmingham","1922-23","first division","38","1","1","0","39","1"
"birmingham","1923-24","first division","9","0","0","0","9","0"
"birmingham","total","total","192","4","6","0","198","4"
"aston villa","1923-24","first division","5","0","0","0","5","0"
"aston villa","1924-25","first division","2","0","0","0","2","0"
"aston villa","total","total","7","0","0","0","7","0"
"stoke","1924-25","second division","24","0","1","0","25","0"
"stoke","1925-26","second division","4","0","2","0","6","0"
"stoke","total","total","28","0","3","0","31","0"
"coventry city","1926-27","third division south","35","6","1","0","36","6"
"coventry city","1927-28","third division south","14","1","1","0","15","1"
"coventry city","total","total","49","7","2","0","51","7"
"walsall","1927-28","third division south","7","0","0","0","7","0"
"career total","career total","career total","287","11","11","0","298","11"
