"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ajax","1990-91","eredivisie","9","0","0","0","-","-","0","0","0","0","9","0"
"ajax","1991-92","eredivisie","0","0","0","0","-","-","0","0","0","0","0","0"
"ajax","1992-93","eredivisie","19","0","3","0","-","-","3","0","0","0","25","0"
"ajax","1993-94","eredivisie","32","0","4","0","-","-","6","0","1","0","43","0"
"ajax","1994-95","eredivisie","33","0","3","0","-","-","11","0","1","0","48","0"
"ajax","1995-96","eredivisie","33","0","2","0","-","-","11","0","4","0","50","0"
"ajax","1996-97","eredivisie","33","0","1","0","-","-","10","0","1","0","45","0"
"ajax","1997-98","eredivisie","33","1","5","0","-","-","8","0","0","0","46","1"
"ajax","1998-99","eredivisie","34","0","5","0","-","-","6","0","1","0","46","0"
"ajax","total","total","226","1","23","0","-","-","55","0","8","0","312","1"
"juventus","1999-2000","serie a","32","0","3","0","-","-","11","0","0","0","46","0"
"juventus","2000-01","serie a","34","0","2","0","-","-","6","0","0","0","42","0"
"juventus","total","total","66","0","5","0","-","-","17","0","0","0","88","0"
"fulham","2001-02","premier league","37","0","4","0","0","0","0","0","0","0","41","0"
"fulham","2002-03","premier league","19","0","0","0","0","0","11","0","0","0","30","0"
"fulham","2003-04","premier league","37","0","6","0","0","0","0","0","0","0","43","0"
"fulham","2004-05","premier league","34","0","5","0","1","0","0","0","0","0","40","0"
"fulham","total","total","127","0","15","0","1","0","11","0","0","0","154","0"
"manchester united","2005-06","premier league","38","0","2","0","3","0","8","0","0","0","51","0"
"manchester united","2006-07","premier league","32","0","3","0","0","0","12","0","0","0","47","0"
"manchester united","2007-08","premier league","29","0","4","0","0","0","10","0","1","0","44","0"
"manchester united","2008-09","premier league","33","0","2","0","0","0","10","0","4","0","49","0"
"manchester united","2009-10","premier league","21","0","0","0","2","0","6","0","0","0","29","0"
"manchester united","2010-11","premier league","33","0","2","0","0","0","10","0","1","0","46","0"
"manchester united","total","total","186","0","13","0","5","0","56","0","6","0","266","0"
"noordwijk","2015-16","hoofdklasse","1","0","0","0","0","0","0","0","0","0","1","0"
"career total","career total","career total","606","1","56","0","6","0","139","0","14","0","821","1"
