"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"leicester city","1976-77","first division","4","0","0","0","0","0","4","0"
"leicester city","1977-78","first division","6","1","0","0","0","0","6","1"
"leicester city","1978-79","second division","2","0","0","0","0","0","2","0"
"leicester city","total","total","12","1","0","0","0","0","12","1"
"hereford united","1978-79","fourth division","15","3","0","0","0","0","15","3"
"hereford united","1979-80","fourth division","34","2","2","0","2","1","38","3"
"hereford united","1980-81","fourth division","43","5","2","0","0","0","45","5"
"hereford united","1981-82","fourth division","46","8","5","0","2","0","53","8"
"hereford united","1982-83","fourth division","37","3","1","0","2","0","40","3"
"hereford united","total","total","175","21","10","0","6","1","191","22"
"chesterfield","1983-84","fourth division","1","0","0","0","0","0","1","0"
"port vale","1983-84","third division","1","0","0","0","0","0","1","0"
"stockport county","1983-84","fourth division","4","0","1","0","0","0","5","0"
"rochdale","1986-87","fourth division","4","0","0","0","0","0","4","0"
"bury","1983-84","fourth division","29","1","0","0","2","1","31","2"
"bury","1984-85","fourth division","46","5","1","0","4","0","51","5"
"bury","1985-86","third division","43","5","6","0","5","0","54","5"
"bury","1986-87","third division","7","1","0","0","2","0","9","1"
"bury","total","total","125","12","7","0","13","1","145","13"
"colchester united","1986-87","fourth division","14","1","0","0","2","0","16","1"
"colchester united","1987-88","fourth division","41","7","3","0","6","4","50","11"
"colchester united","1988-89","fourth division","10","0","0","0","2","0","12","0"
"colchester united","total","total","65","8","3","0","10","4","78","12"
"burnley","1988-89","fourth division","35","5","1","0","2","1","38","6"
"burnley","1989-90","fourth division","40","7","6","1","4","1","50","9"
"burnley","1990-91","fourth division","29","2","3","2","8","2","40","6"
"burnley","total","total","104","14","10","3","14","4","128","21"
"west bromwich albion","1990-91","second division","6","1","0","0","0","0","6","1"
"west bromwich albion","1991-92","third division","10","0","2","0","2","0","14","0"
"west bromwich albion","total","total","16","1","2","0","2","0","20","1"
"bury","1992-93","third division","2","0","0","0","0","0","2","0"
"doncaster rovers","1992-93","third division","4","2","0","0","1","0","5","2"
"carlisle united","1992-93","third division","6","0","0","0","0","0","6","0"
"wigan athletic","1992-93","second division","10","2","0","0","0","0","10","2"
"career total","career total","career total","529","61","33","3","46","10","608","74"
