"year","team","g","gs","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","g","gs","att","comp","pct","yds","y/a","td","int","rtg","att","yds","avg","td","sack","ydsl","fum","fuml"
"2001","atl","8","2","113","50","44.2","785","6.9","2","3","62.7","31","289","9.3","1","21","113","6","5"
"2002","atl","15","15","421","231","54.9","2,936","7.0","16","8","81.6","113","777","6.9","8","33","206","9","6"
"2003","atl","5","4","100","50","50.0","585","5.9","4","3","69.0","40","255","6.4","1","9","64","4","1"
"2004","atl","15","15","321","181","56.4","2,313","7.2","14","12","78.1","120","902","7.5","3","46","266","16","7"
"2005","atl","15","15","387","214","55.3","2,412","6.2","15","13","73.1","102","597","5.9","6","33","201","11","5"
"2006","atl","16","16","388","204","52.6","2,474","6.4","20","13","75.7","123","1,039","8.4","2","45","303","9","3"
"2007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2008","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2009","phl","12","1","13","6","46.2","86","6.6","1","0","93.8","24","95","4.0","2","0","0","0","0"
"2010","phl","12","12","372","233","62.6","3,018","8.1","21","6","100.2","100","676","6.8","9","34","210","11","3"
"2011","phl","13","13","423","253","59.8","3,303","7.8","18","14","84.9","76","589","7.8","1","23","126","7","2"
"2012","phl","10","10","351","204","58.1","2,362","6.7","12","10","78.1","62","331","5.4","1","28","153","7","3"
"2013","phl","7","6","141","77","54.6","1,215","8.6","5","3","86.5","36","306","8.5","2","15","99","4","2"
"2014","nyj","10","3","121","64","52.9","604","5.0","3","2","68.3","26","153","5.9","0","19","85","5","2"
"2015","pit","5","3","66","40","60.6","371","5.6","2","1","79.8","20","99","5.0","0","10","53","2","0"
"total","total","143","109","3,217","1,807","56.2","22,464","7.0","133","88","80.4","873","6,109","7.0","36","316","1,879","98","43"
