"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cercle brugge","2013-14","belgian pro league","34","5","3","2","none","none","37","7","none","none"
"cercle brugge","2014-15","belgian pro league","30","8","2","0","none","none","32","8","none","none"
"cercle brugge","total","total","64","13","5","2","none","none","none","none","69","15"
"astana","2015","kazakhstan premier league","13","5","2","0","10","0","0","0","25","5"
"astana","2016","kazakhstan premier league","13","5","2","3","12","2","0","0","27","10"
"astana","2017","kazakhstan premier league","31","19","0","0","11","4","1","0","43","23"
"astana","total","total","57","29","4","3","33","6","1","0","95","38"
"kardemir karabukspor","2015-16","tff first league","7","2","0","0","-","-","7","2","none","none"
"al-nassr","2017-18","saudi professional league","6","4","1","0","-","-","7","4","none","none"
"al-nassr","2018-19","saudi professional league","0","0","0","0","-","-","0","0","none","none"
"al-nassr","total","total","6","4","1","0","none","none","none","none","7","4"
"astana","2018","kazakhstan premier league","6","0","0","0","11","0","-","-","17","0"
"astana","2019","kazakhstan premier league","0","0","0","0","0","0","1","2","1","2"
"astana","total","total","6","0","0","0","11","0","1","2","18","2"
"career total","career total","career total","140","48","10","5","44","6","2","2","197","61"
