"factor","%","95% confidence interval","95% confidence interval"
"factor","%","from","to"
"discomfort or injury involving a laser product","","",""
"yes","1.1","0.7","1.4"
"no","98.9","98.5","99.2"
"discomfort or injury involving laser product-number of times","","",""
"1 time","44.9","27.6","62.1"
"2 to 260 times","49.5","32.2","66.7"
"type of discomfort or injury","","",""
"skin","41.3","24.1","58.5"
"eye","59.1","41.9","76.3"
"length of discomfort or injury","","",""
"two days or less","63.9","45.2","82.6"
"more than two days","34.0","15.2","52.9"
"own use or someone else's","","",""
"your own use of the device","25.0","12.1","37.8"
"someone else's use of the device","74.9","62.0","87.7"
"type of laser that caused injury, excluding medical devices","","",""
"pointer","26.3","11.7","40.9"
"cosmetic treatments","39.1","21.7","56.6"
"survey tool / entertainment / materials processing / scanner / other","34.1","18.4","49.8"
