"characteristic","head or neck","head or neck","head or neck","trunk","trunk","trunk","upper limb or shoulder","upper limb or shoulder","upper limb or shoulder","lower limb or hip","lower limb or hip","lower limb or hip"
"characteristic","hazard ratio","95% confidence interval","95% confidence interval","hazard ratio","95% confidence interval","95% confidence interval","hazard ratio","95% confidence interval","95% confidence interval","hazard ratio","95% confidence interval","95% confidence interval"
"characteristic","hazard ratio","from","to","hazard ratio","from","to","hazard ratio","from","to","hazard ratio","from","to"
"uv radiation z-score","1.11","1.05","1.17","1.31","1.25","1.37","1.29","1.22","1.36","1.21","1.15","1.28"
"immigrant status","","","","","","","","","","","",""
"not immigrant","1.00","..","..","1.00","..","..","1.00","..","..","1.00","..",".."
"immigrant","0.92","0.81","1.05","0.88","0.79","0.98","0.87","0.77","0.98","1.14","1.00","1.29"
"marital status","","","","","","","","","","","",""
"married or common-law","1.00","..","..","1.00","..","..","1.00","..","..","1.00","..",".."
"separated, widowed, divorced","0.87","0.74","1.02","0.97","0.85","1.11","0.97","0.83","1.12","0.78","0.67","0.91"
"single","0.84","0.69","1.02","0.87","0.75","1.00","0.88","0.74","1.04","0.83","0.70","0.98"
"household income adequacy quintile","","","","","","","","","","","",""
"1st","1.00","..","..","1.00","..","..","1.00","..","..","1.00","..",".."
"2nd","1.19","0.99","1.43","1.34","1.14","1.58","1.02","0.85","1.23","1.04","0.87","1.26"
"3rd","1.25","1.03","1.50","1.48","1.26","1.74","1.08","0.91","1.29","1.04","0.86","1.25"
"4th","1.33","1.10","1.60","1.62","1.38","1.90","1.38","1.16","1.63","1.22","1.01","1.46"
"5th","1.38","1.14","1.66","1.85","1.58","2.17","1.53","1.29","1.82","1.36","1.14","1.64"
"educational attainment","","","","","","","","","","","",""
"less than secondary completion","1.00","..","..","1.00","..","..","1.00","..","..","1.00","..",".."
"secondary completion","1.18","1.04","1.33","1.34","1.21","1.47","1.28","1.14","1.43","1.53","1.34","1.74"
"postsecondary non-university","1.49","1.28","1.75","1.34","1.18","1.52","1.39","1.20","1.60","1.88","1.61","2.19"
"university graduation","1.68","1.40","2.00","1.48","1.29","1.70","1.71","1.46","2.01","2.12","1.77","2.52"
"occupational group","","","","","","","","","","","",""
"management","1.00","..","..","1.00","..","..","1.00","..","..","1.00","..",".."
"professional","0.88","0.70","1.10","0.96","0.83","1.11","0.84","0.71","1.01","0.94","0.78","1.14"
"skilled, technical, supervisory","1.07","0.88","1.30","0.82","0.72","0.93","0.82","0.70","0.96","0.86","0.72","1.04"
"semi-skilled","0.94","0.76","1.16","0.88","0.77","1.01","0.82","0.69","0.97","0.85","0.70","1.02"
"unskilled","0.92","0.70","1.21","0.69","0.57","0.85","0.82","0.66","1.03","0.53","0.39","0.71"
"not employed","0.97","0.79","1.21","0.91","0.77","1.07","0.73","0.60","0.88","0.78","0.63","0.96"
"outdoor occupation","","","","","","","","","","","",""
"no","1.00","..","..","1.00","..","..","1.00","..","..","1.00","..",".."
"yes","1.02","0.85","1.22","1.03","0.90","1.18","1.05","0.90","1.24","1.13","0.96","1.33"
