"province or territory","total crime severity index","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"province or territory","index","percent change 2018 to 2019","percent change 2009 to 2019","index","percent change 2018 to 2019","index","percent change 2018 to 2019"
"newfoundland and labrador","71.6","10","0","79.1","10","68.7","10"
"prince edward island","64.0","18","-3","64.3","31","63.8","14"
"nova scotia","66.1","1","-21","82.1","4","60.1","-1"
"new brunswick","79.5","9","12","84.9","10","77.3","8"
"quebec","55.9","-1","-31","75.2","5","48.8","-4"
"ontario","60.7","1","-12","74.9","1","55.5","1"
"manitoba","139.3","10","1","188.9","11","121.1","10"
"saskatchewan","148.2","5","-1","171.0","21","139.6","0"
"alberta","119.1","5","13","106.7","7","123.3","4"
"british columbia","104.4","17","-7","91.5","21","108.8","16"
"yukon","215.7","26","19","236.6","11","207.7","33"
"northwest territories","388.6","19","19","480.8","13","354.5","23"
"nunavut","361.3","11","9","612.8","9","270.0","13"
"canada","79.5","5","-9","89.7","7","75.6","4"
