"field","started in fy 2014 or fy 2015","planned to start in fy 2016 or fy 2017","deferred projects","deferred projects"
"field","started in fy 2014 or fy 2015","planned to start in fy 2016 or fy 2017","included in institutional plan","not included in institutional plan"
"all research space","4133.4","3902.5","4850.1","3966.5"
"agricultural sciences","55","103.9","399.5","249.6"
"biological and biomedical sciences","1005.2","902.5","1183.1","893.3"
"computer and information sciences","42.5","41.5","79.1","92.2"
"engineering","707.3","736.9","559.5","664.8"
"geosciences, atmospheric, and ocean sciences","150.4","108.6","249.2","181"
"health sciences","1023.9","884.7","982.9","781.1"
"mathematics and statistics","52.5","22.5","58.1","62.5"
"natural resources and conservation","43","20.5","61.2","13.1"
"physical sciences","786.2","662.1","697.3","547.6"
"psychology","113.1","99.6","246","147.8"
"social sciences","134.8","187.2","262.5","269.6"
"other","19.4","132.4","71.7","63.6"
