"year","album","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","label"
"year","album","us country","us","us heat","us indie","us folk","label"
"1981","kimmie rhodes and the jackalope brothers","","","","","","jackalope records"
"1985","man in the moon","","","","","","heartland"
"1989","angels get the blues","","","","","","heartland"
"1996","west texas heaven","","","","","","last call, justice, sunbird"
"1998","jackalopes, moons and angels","","","","","","jackalope records"
"2000","rich from the journey","","","","","","sunbird"
"2002","love me like a song","","","","","","sunbird"
"2003","picture in a frame","","","","","","sunbird"
"2004","lost and found","","","","","","sunbird"
"2005","windblown","","","","","","sunbird"
"2006","ten summers","","","","","","sunbird"
"2008","walls fall down","","","","","","sunbird"
"2010","miracles on a christmas day","","","","","","sunbird"
"2011","dreams of flying","","","","","","sunbird"
"2013","covers","","","","","","sunbird"
"2015","cowgirl boudoir","","","","","","sunbird"
