"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"marseille","2003-04","ligue 1","14","0","1","0","9","0","-","-","24","0"
"marseille","total","total","14","0","1","0","9","0","-","-","24","0"
"arsenal","2004-05","premier league","21","1","7","0","4","0","0","0","32","1"
"arsenal","2005-06","premier league","31","0","5","0","12","0","1","0","49","0"
"arsenal","2006-07","premier league","20","3","6","0","6","1","-","-","32","4"
"arsenal","2007-08","premier league","30","3","2","0","8","0","-","-","40","3"
"arsenal","total","total","102","7","20","0","30","1","1","0","153","8"
"milan","2008-09","serie a","29","0","1","0","7","0","-","-","37","0"
"milan","2009-10","serie a","25","0","2","1","5","0","-","-","32","1"
"milan","2010-11","serie a","23","2","2","0","5","0","-","-","30","2"
"milan","2011-12","serie a","2","1","0","0","0","0","0","0","2","1"
"milan","2012-13","serie a","18","4","1","0","3","0","-","-","22","4"
"milan","total","total","97","7","6","1","20","0","0","0","123","8"
"arsenal","2013-14","premier league","27","2","3","0","6","0","-","-","36","2"
"arsenal","2014-15","premier league","23","1","2","0","7","0","1","0","33","1"
"arsenal","2015-16","premier league","16","0","4","2","4","0","0","0","24","2"
"arsenal","total","total","66","3","9","2","17","0","1","0","93","5"
"arsenal","arsenal total","arsenal total","168","10","29","2","47","1","2","0","246","13"
"crystal palace","2016-17","premier league","10","0","3","0","-","-","-","-","13","0"
"getafe","2017-18","la liga","8","0","0","0","-","-","-","-","8","0"
"getafe","2018-19","la liga","5","0","3","0","-","-","-","-","8","0"
"getafe","total","total","13","0","3","0","0","0","0","0","16","0"
"career total","career total","career total","302","17","42","3","76","1","2","0","422","21"
