"club","season","league","league","league","fa cup","fa cup","efl cup","efl cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"queens park rangers","2001-02","second division","4","1","0","0","0","0","0","0","4","1"
"queens park rangers","2002-03","second division","6","2","0","0","0","0","0","0","6","2"
"queens park rangers","total","total","10","3","0","0","0","0","0","0","10","3"
"arsenal","2001-02","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","2002-03","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","2003-04","premier league","0","0","0","0","3","0","0","0","3","0"
"arsenal","total","total","0","0","0","0","3","0","0","0","3","0"
"charlton athletic","2003-04","premier league","1","0","0","0","0","0","0","0","1","0"
"charlton athletic","2004-05","premier league","24","3","3","0","1","0","0","0","28","3"
"charlton athletic","2005-06","premier league","25","1","4","0","2","0","0","0","31","1"
"charlton athletic","2006-07","premier league","20","3","1","0","3","0","0","0","24","3"
"charlton athletic","2007-08","championship","32","0","1","0","0","0","0","0","33","0"
"charlton athletic","2008-09","championship","1","0","0","0","1","0","0","0","2","0"
"charlton athletic","total","total","103","7","9","0","7","0","0","0","119","7"
"portsmouth","2008-09","premier league","3","0","0","0","0","0","0","0","3","0"
"leeds united","2012-13","championship","6","1","0","0","1","0","0","0","7","1"
"west bromwich albion","2009-10","championship","27","7","1","1","1","0","0","0","29","8"
"west bromwich albion","2010-11","premier league","33","3","1","0","0","0","0","0","34","3"
"west bromwich albion","2011-12","premier league","29","1","1","0","1","1","0","0","31","2"
"west bromwich albion","2012-13","premier league","10","0","2","0","0","0","0","0","12","0"
"west bromwich albion","total","total","99","11","5","1","2","1","0","0","106","13"
"crystal palace","2013-14","premier league","9","0","0","0","0","0","0","0","9","0"
"crystal palace","2014-15","premier league","1","0","1","0","1","0","0","0","3","0"
"crystal palace","total","total","10","0","1","0","1","0","0","0","12","0"
"rotherham united","2015-16","championship","6","0","0","0","0","0","0","0","6","0"
"port vale","2016-17","efl league one","23","1","2","0","1","0","0","0","26","1"
"career total","career total","career total","260","23","17","1","15","1","0","0","292","25"
