"province or territory","sexual offences","sexual offences","physical assault offences","physical assault offences","criminal harassment and threat offences","criminal harassment and threat offences","all violent offences","all violent offences"
"province or territory","number","rate","number","rate","number","rate","number","rate"
"provinces overall","2,533","820","6,478","2,098","1,053","341","10,470","3,391"
"newfoundland and labrador","58","1,322","189","4,307","19","433","270","6,153"
"quebec","356","760","454","969","197","420","1,068","2,279"
"ontario","910","862","1,542","1,460","303","287","2,888","2,734"
"manitoba","327","1,410","1,572","6,778","130","561","2,093","9,025"
"saskatchewan","159","1,718","1,007","10,882","85","919","1,285","13,886"
"alberta","383","548","1,082","1,548","200","286","1,719","2,460"
"british columbia","340","686","632","1,276","119","240","1,147","2,316"
"territories overall","335","1,547","1,066","4,923","135","623","1,566","7,232"
"yukon","52","994","148","2,828","23","439","228","4,356"
"northwest territories","139","1,827","467","6,137","60","788","678","8,909"
"nunavut","144","1,634","451","5,119","52","590","660","7,491"
"canada","2,868","868","7,544","2,283","1,188","360","12,036","3,643"
