"year","title","credited as","credited as","credited as","credited as"
"year","title","role","producer","writer","director"
"1915","the lamb","gerald","none","none","none"
"1915","martyrs of the alamo","joe / texan soldier","none","none","none"
"1915","double trouble","florian amidon / eugene brassfield","none","none","none"
"1916","his picture in the papers","pete prindle","none","none","none"
"1916","the habit of happiness","sunny wiggins","none","none","none"
"1916","the good bad man","passin' through","none","yes","none"
"1916","reggie mixes in","reggie van deuzen","none","none","none"
"1916","the mystery of the leaping fish","coke ennyday / himself","none","none","none"
"1916","flirting with fate","augy holliday","none","none","none"
"1916","the half-breed","lo dorman","none","none","none"
"1916","intolerance","man on white horse","none","none","none"
"1916","manhattan madness","steve o'dare","none","none","none"
"1916","american aristocracy","cassius lee","none","none","none"
"1916","the matrimaniac","jimmie conroy","none","none","none"
"1916","the americano","blaze derringer","none","none","none"
"1917","all-star production of patriotic episodes for the second liberty loan","himself","none","none","none"
"1917","in again, out again","teddy rutherford","yes","none","none"
"1917","wild and woolly","jeff hillington","none","none","none"
"1917","down to earth","billy gaynor","yes","yes","none"
"1917","the man from painted post",""fancy jim" sherwood","none","yes","none"
"1917","reaching for the moon","alexis caesar napoleon brown","yes","none","none"
"1917","a modern musketeer","ned thacker/d'artagnan","yes","none","none"
"1918","headin' south","headin' south","yes","none","none"
"1918","mr. fix-it","dick remington","yes","none","none"
"1918","say! young fellow","the young fellow","yes","none","none"
"1918","bound in morocco","george travelwell","yes","yes","none"
"1918","he comes up smiling","jerry martin","yes","none","none"
"1918","sic 'em, sam","democracy","none","none","none"
"1918","arizona","lt. denton","yes","yes","yes"
"1919","the knickerbocker buckaroo","teddy drake","yes","yes","none"
"1919","his majesty, the american","william brooks","yes","yes","none"
"1919","when the clouds roll by","daniel boone brown","yes","yes","none"
"1920","the mollycoddle","richard marshall iii, iv and v","none","yes","none"
"1920","the mark of zorro","don diego vega / senor zorro","yes","yes","none"
"1921","the nut","charlie jackson","yes","yes","none"
"1921","the three musketeers","d'artagnan","yes","yes","none"
"1922","robin hood","robin hood","yes","yes","none"
"1923","hollywood","himself","none","none","none"
"1924","the thief of bagdad","the thief of bagdad","yes","yes","none"
"1925","don q, son of zorro","don cesar vega / zorro","yes","none","none"
"1925","ben-hur","crowd extra in chariot race","none","none","none"
"1926","the black pirate","the black pirate","yes","yes","none"
"1927","a kiss from mary pickford","himself","none","none","none"
"1927","the gaucho","the gaucho","yes","yes","none"
"1928","show people","himself","none","none","none"
"1929","the iron mask","d'artagnan","yes","yes","none"
"1929","the taming of the shrew","petruchio","none","none","none"
"1930","reaching for the moon","larry day","yes","none","none"
"1932","mr. robinson crusoe","steve drexel","yes","yes","none"
"1934","the private life of don juan","don juan","none","none","none"
"1937","ali baba goes to town","himself - at fictional premiere","none","none","none"
