"characteristics","first nations","first nations","first nations","first nations","first nations","first nations","first nations","non-aboriginal","non-aboriginal","non-aboriginal"
"characteristics","total","on reserves","on reserves","on reserves","off reserves","off reserves","off reserves","non-aboriginal","non-aboriginal","non-aboriginal"
"characteristics","total","total","rural","urban","total","rural","urban","total","rural","urban"
"total number","306.4","229.3","212.5","16.8","77.0","22.8","54.2","4,230.40","822.6","3,407.80"
"","percentage distribution","percentage distribution","percentage distribution","percentage distribution","percentage distribution","percentage distribution","percentage distribution","percentage distribution","percentage distribution","percentage distribution"
"total","100","100","100","100","100","100","100","100","100","100"
"age group","","","","","","","","","",""
"0 to 9","22","22","22","20","21","21","21","11","11","11"
"10 to 19","22","22","22","22","21","22","21","13","14","13"
"20 to 29","14","15","15","14","14","12","15","13","9","13"
"30 to 39","13","13","13","13","14","13","15","14","12","14"
"40 to 49","13","12","12","14","14","14","14","17","17","17"
"50 or older","16","16","15","18","16","18","15","33","37","32"
"region","","","","","","","","","",""
"atlantic","6","7","6","15","6","11","3","10","23","6"
"ontario","20","17","17","19","28","20","31","51","38","55"
"manitoba","20","22","24","1","12","11","12","4","6","4"
"saskatchewan","18","19","19","19","14","16","13","4","7","3"
"alberta","15","15","16","0","16","19","15","14","13","14"
"british columbia","17","17","14","47","19","12","21","17","12","18"
"territories","5","4","5","0","6","9","4","0","1","0"
"location","","","","","","","","","",""
"rural","77","93","..","..","30","..","..","19","..",".."
"urban","23","7","..","..","70","..","..","81","..",".."
"housing conditions","","","","","","","","","",""
"needs major repairs","40","47","47","43","19","27","15","7","9","6"
"crowded","22","26","26","21","9","15","6","3","2","3"
"household income quintile","","","","","","","","","",""
"lowest","49","53","43","39","36","23","28","17","11","9"
"at least one hospitalization for:","","","","","","","","","",""
"respiratory tract infection","1.3","1.5","1.5","1.0","1.5","1.1","0.6","0.4","0.5","0.3"
"asthma","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1"
