"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fulham","2008-09","premier league","1","0","0","0","0","0","-","-","1","0","none","none"
"fulham","2009-10","premier league","12","0","1","0","1","0","4","0","-","-","18","0"
"fulham","total","total","13","0","1","0","1","0","4","0","-","-","19","0"
"manchester united","2010-11","premier league","16","0","4","0","3","1","9","0","1","0","33","1"
"manchester united","2011-12","premier league","19","1","2","0","1","0","7","0","1","1","30","2"
"manchester united","2012-13","premier league","15","0","5","0","0","0","2","0","-","-","22","0"
"manchester united","2013-14","premier league","25","1","1","0","4","0","7","1","1","0","38","2"
"manchester united","2014-15","premier league","25","4","4","0","0","0","-","-","29","4","none","none"
"manchester united","2015-16","premier league","35","0","7","1","2","0","11","1","-","-","55","2"
"manchester united","2016-17","premier league","18","1","4","1","4","0","10","0","0","0","36","2"
"manchester united","2017-18","premier league","29","4","5","0","3","0","8","0","1","0","46","4"
"manchester united","2018-19","premier league","23","1","2","0","0","0","8","0","-","-","33","1"
"manchester united","total","total","205","12","34","2","17","1","62","2","4","1","322","18"
"career total","career total","career total","218","12","35","2","18","1","66","2","4","1","341","18"
