"reason for not reporting","yukon","northwest territories","nunavut","all territories"
"reason for not reporting","percent","percent","percent","percent"
"crime was minor and not worth taking the time to report","81","82","70","78"
"police wouldn't have considered the incident important enough","74","67","62","68"
"incident was a private or personal matter and was handled informally","48","51","51","50"
"no one was harmed/no financial loss","53","49","46","49"
"lack of evidence","45","53","42","47"
"police wouldn't have found property/offender","46","50","41","46"
"did not want the hassle of dealing with the police","38","48","40","42"
"police would not have been effective","36","38","39","37"
"offender would not be convicted or adequately punished","31","42","40","38"
"no harm was intended","33","37","34","35"
"feared or did not want the hassle of dealing with the court process","20","33","f","25"
"did not want to get the offender in trouble","f","f","f","15"
"unsatisfactory service (from police) in the past","15","18","10","14"
"didn't want others to know","f","f","f","8"
"reported to another official","f","f","f","8"
"police would be biased","f","f","f","7"
"insurance wouldn't cover it","f","f","f","7"
"nothing was taken/all items were recovered","f","f","f","6"
"did not need a police report to file claim","f","f","f","4"
