"beverage","19 to 50 years, male","19 to 50 years, male","19 to 50 years, female","19 to 50 years, female","51 to 70 years","51 to 70 years","71 years or older","71 years or older"
"beverage","2004","2015","2004","2015","2004","2015","2004","2015"
"percentage of population consuming the day before","","","","","","","",""
"","%","%","%","%","%","%","%","%"
"water","76.8","86.3","83.5","90.8","77.1","84.5","74.5","82.3"
"skim, 1% or 2% milk","50.0","38.0","55.3","44.3","56.0","49.0","67.1","55.2"
"whole milk and flavoured milk","14.0","14.3","12.6","14.4","11.3","10.1","11.4","9.5"
"fruit juice","29.6","25.0","29.6","22.2","31.5","19.6","36.2","28.5"
"regular soft drinks","36.1","23.6","21.9","13.0","17.6","13.3","9.4","9.6"
"fruit drinks","15.7","7.2","15.7","7.6","9.2","6.5","12.7","9.4"
"sports drinks","2.2","2.1","f","f","f","0.7","f","f"
"diet soft drinks","7.6","6.4","11.3","6.9","11.5","10.0","5.7","6.1"
"tea","24.6","24.2","33.5","36.5","39.9","36.8","52.8","44.7"
"coffee","59.8","64.3","55.2","57.6","76.6","73.3","70.7","73.6"
"plant-based beverages","1.5","3.8","3.5","5.3","2.6","4.5","1.9","2.6"
"vegetable juice","3.7","2.6","3.8","1.3","5.3","2.3","4.2","4.1"
"beer and coolers","25.7","21.8","8.5","6.1","13.3","12.6","6.3","6.7"
"wine","7.0","6.9","10.5","9.9","16.1","16.2","12.0","15.0"
"spirits and liqueurs","4.1","3.4","2.1","2.4","3.7","3.4","4.0","3.8"
"alcoholic beverages","1.9","1.5","2.7","2.0","1.9","1.1","1.6","1.7"
"total beverages","99.9","100.0","99.7","99.7","99.9","99.8","99.9","99.7"
"quantity consumed in grams by consumers","","","","","","","",""
"","grams","grams","grams","grams","grams","grams","grams","grams"
"water","1,204","1,266","1,245","1,103","1,003","1,022","790","746"
"skim, 1% or 2% milk","329","257","275","196","236","199","243","206"
"whole milk and flavoured milk","332","363","321","286","239","241","214","177"
"fruit juice","443","349","342","283","280","245","223","237"
"regular soft drinks","627","524","500","416","485","479","330","362"
"fruit drinks","498","462","431","323","339","270","246","248"
"sports drinks","838","719","500","675","453","760","441","571"
"diet soft drinks","639","557","530","462","461","509","419","411"
"tea","499","517","488","429","503","449","484","407"
"coffee","632","554","572","449","551","520","443","411"
"plant-based beverages","f","228","272","196","267","204","218","229"
"vegetable juice","360","296","229","302","288","276","225","220"
"beer and coolers","994","930","616","574","778","746","544","571"
"wine","356","303","273","244","265","322","188","248"
"spirits and liqueurs","128","210","188","184","91","182","70","81"
"alcoholic beverages","547","446","454","441","347","365","200","292"
"total beverages","2,461","2,279","2,175","1,817","1,995","1,893","1,591","1,488"
