"state","total","source of funds","source of funds"
"state","total","paid for by the company","paid for by others"
"all states","4843494","3779668","1063826"
"alabama","14155","8493","5663"
"alaska","1154","660","493"
"arizona","70950","62932","8018"
"arkansas","14411","7608","6803"
"california","1194408","1003117","191292"
"colorado","114389","90049","24340"
"connecticut","71880","61654","10226"
"delaware","7971","4675","3296"
"district of columbia","11965","8079","3886"
"florida","237130","198444","38686"
"georgia","93933","77066","16867"
"hawaii","s","s","s"
"idaho","s","s","2064"
"illinois","162022","120131","41891"
"indiana","50643","27120","23523"
"iowa","30624","20584","10040"
"kansas","12771","8795","3976"
"kentucky","19640","14542","5098"
"louisiana","11229","9780","1449"
"maine","21035","s","s"
"maryland","150978","110817","40161"
"massachusetts","267037","182514","84523"
"michigan","67411","46677","20734"
"minnesota","121090","89470","31620"
"mississippi","3395","2623","772"
"missouri","23465","20140","3324"
"montana","9629","5252","4377"
"nebraska","19053","16308","2745"
"nevada","48748","27515","21233"
"new hampshire","21715","15535","6181"
"new jersey","150029","125280","24749"
"new mexico","20260","13202","7058"
"new york","390061","346939","43122"
"north carolina","165762","105633","60128"
"north dakota","s","s","s"
"ohio","89044","66674","22370"
"oklahoma","45354","43316","2038"
"oregon","43417","35574","7843"
"pennsylvania","194601","123437","71164"
"rhode island","15570","12545","3025"
"south carolina","38267","33657","4609"
"south dakota","5823","5542","281"
"tennessee","32301","26738","5563"
"texas","302041","235493","66547"
"utah","43950","32448","11501"
"vermont","11893","s","2407"
"virginia","149361","95826","53536"
"washington","131326","107777","23549"
"west virginia","1396","1270","126"
"wisconsin","41767","34045","7722"
"wyoming","s","s","703"
"undistributed","101","101","0"
