"club","season","league","league","league","f.a. cup","f.a. cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"weymouth","2006-07","conference","20","7","0","0","0","0","0","0","20","7"
"weymouth","2007-08","conference","39","3","2","3","0","0","2","0","43","6"
"weymouth","2008-09","conference","27","14","0","0","0","0","0","0","27","14"
"weymouth","total","total","86","24","2","3","0","0","2","0","90","27"
"wycombe wanderers","2008-09","league two","8","0","0","0","0","0","0","0","8","0"
"wycombe wanderers","2009-10","league one","25","3","1","0","1","0","0","0","27","3"
"wycombe wanderers","2010-11","league two","37","3","3","2","0","0","2","0","42","5"
"wycombe wanderers","2011-12","league one","43","21","0","0","1","1","1","3","45","25"
"wycombe wanderers","2012-13","league two","2","1","0","0","1","0","0","0","3","1"
"wycombe wanderers","total","total","115","28","4","2","3","1","3","3","125","34"
"preston north end","2012-13","league one","31","6","3","1","1","0","2","2","37","9"
"preston north end","2013-14","league one","27","3","2","0","1","0","1","0","31","3"
"preston north end","total","total","58","9","5","1","2","0","3","2","68","12"
"burton albion","2014-15","league two","44","6","1","0","1","1","0","0","46","7"
"burton albion","2015-16","league one","43","7","1","0","0","0","0","0","44","7"
"burton albion","2016-17","championship","10","0","0","0","2","1","0","0","12","1"
"burton albion","total","total","97","13","2","0","3","2","0","0","102","15"
"coventry city","2016-17","league one","14","2","0","0","0","0","3","1","17","3"
"coventry city","2017-18","league two","14","0","0","0","1","0","3","0","18","0"
"coventry city","total","total","28","2","0","0","1","0","6","1","35","3"
"wrexham","2018-19","national league","39","5","5","1","0","0","0","0","44","6"
"career total","career total","career total","423","83","18","7","9","3","14","6","464","97"
