"sources of personal income","age group","age group"
"sources of personal income","15 to 64 years","65 years or older"
"sources of personal income","percent","percent"
"wages/salaries","45.1","5.7"
"self-employment","12.6","5.3"
"workers' compensation","7.9","3.2"
"canada pension plan (cpp) disability benefit","16.5",".."
"quebec pension plan (qpp) disability benefit","2.5",".."
"benefits from cpp excluding disability","40.7","84.0"
"benefits from qpp excluding disability","8.2","16.6"
"long term disability","10.3","2.9"
"motor vehicle accident insurance/disability","1.8","0.5"
"veterans affairs disability pension benefit","0.9","4.4"
"provincial/territorial /municipal social assistance","14.6","2.3"
"employment insurance/qc parental insurance","8.1","0.5"
