"no","pos","nat","player","total","total","second division","second division","challenge cup","challenge cup","league cup","league cup","scottish cup","scottish cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","alistair brown","27","0","24+1","0","1+0","0","0+0","0","1+0","0"
"none","gk","scotland","chris mccluskey","19","0","12+1","0","2+0","0","1+0","0","3+0","0"
"none","df","scotland","michael devlin","10","3","10+0","3","0+0","0","0+0","0","0+0","0"
"none","df","scotland","scott fusco","10","0","5+2","0","2+0","0","1+0","0","0+0","0"
"none","df","scotland","scott gibb","25","0","21+1","0","1+0","0","1+0","0","1+0","0"
"none","df","scotland","willie lyle","42","1","35+0","1","3+0","0","0+0","0","4+0","0"
"none","df","scotland","alistair love","3","0","2+0","0","0+0","0","0+0","0","1+0","0"
"none","df","scotland","jordan smith","29","3","23+0","2","2+0","0","0+0","0","4+0","1"
"none","df","scotland","stephen thomson","9","0","5+0","0","3+0","0","1+0","0","0+0","0"
"none","df","scotland","gary thom","32","1","23+3","1","1+0","0","1+0","0","4+0","0"
"none","mf","scotland","grant anderson","40","9","30+2","7","3+0","1","1+0","1","4+0","0"
"none","mf","scotland","ross clark","22","8","11+4","5","3+0","0","1+0","0","3+0","3"
"none","mf","scotland","sean dickson","27","0","21+2","0","0+0","0","0+0","0","4+0","0"
"none","mf","scotland","brian gilmour","9","0","7+2","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","michael hunter","8","1","0+7","1","0+0","0","0+0","0","1+0","0"
"none","mf","scotland","kevin motion","16","1","8+3","0","1+1","1","1+0","0","0+2","0"
"none","mf","scotland","mark mclennan","2","0","2+0","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","stevie murray","40","3","32+0","3","3+0","0","1+0","0","3+1","0"
"none","mf","scotland","eric paton","18","3","18+0","3","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","patrick scullion","11","1","5+3","1","0+3","0","0+0","0","0+0","0"
"none","mf","scotland","adam strachan","1","0","1+0","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","lewis sloan","9","0","2+7","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","andrew stirling","23","1","10+10","0","0+1","0","0+1","0","0+1","1"
"none","mf","scotland","iain thomson","38","0","31+0","0","2+1","0","0+1","0","3+0","0"
"none","fw","scotland","mark archdeacon","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","kieran connachan","1","0","1+0","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","scott dalziel","30","7","17+6","5","2+1","1","0+1","0","3+0","1"
"none","fw","scotland","stuart love","4","0","2+2","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","simon lynch","17","4","11+6","4","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","grant plenderleith","13","1","0+10","1","0+0","0","0+0","0","1+2","0"
"none","fw","scotland","paul quinn","30","4","15+8","3","1+1","1","1+0","0","0+4","0"
"none","fw","scotland","alex williams","25","12","12+5","6","3+0","3","1+0","0","4+0","3"
