"census metropolitan area","percent change in crime severity index from 2017 to 2018","violations driving the change in crime severity index"
"canada","2","increase in fraud, sexual assault (level 1) and shoplifting of $5,000 or under; partially offset by decrease in breaking and entering, and robbery"
"st. john's","12","increase in weapons violations, fraud, breaking and entering, and robbery; partially offset by decrease in homicide"
"halifax","2","increase in sexual assault (level 1) and fraud; partially offset by decrease in breaking and entering"
"moncton","15","increase in fraud, as well as robbery and homicide"
"saint john","-4","decrease in homicide; trafficking, production, importation or exportation of heroin; and child pornography; offset by increase in fraud and attempted murder"
"saguenay","-12","decrease in failure to stop and remain (traffic), and breaking and entering; partially offset by increase in sexual violations against children"
"quebec","-7","decrease in breaking and entering, attempted murder and homicide; partially offset by increase in fraud"
"sherbrooke","-2","decrease in breaking and entering; offset by increase in homicide"
"trois-rivieres","2","increase in sexual assault (level 1), fraud, and homicide; offset by decrease in failure to stop and remain (traffic), and attempted murder"
"montreal","-1","decrease in breaking and entering, and robbery; partially offset by increase in trafficking, production, importation or exportation of cocaine and heroin"
"gatineau","-2","decrease in breaking and entering; offset by increase in homicide"
"ottawa","7","increase in breaking and entering, sexual assault (level 1), fraud, theft of $5,000 or under"
"kingston","8","increase in breaking and entering, and sexual assault (level 1"
"belleville","-20","decreases in other violent criminal code violations (non-censensual distribution of intimate images, voyeurism), theft of $5,000 or under"
"peterborough","-10","decrease in breaking and entering, robbery and other violent criminal code violations (non-concensual distribution of intimate images, trafficking in persons); partially offset by increase in fraud"
"toronto","8","increase in homicide and fraud"
"hamilton","-3","decrease in robbery and failure to stop and remain (traffic); partially offset by increase in fraud and sexual assault (level 1"
"st. catharines-niagara","15","increase in trafficking, production and distribution of cannabis (cdsa) and cocaine, and breaking and entering"
"kitchener-cambridge-waterloo","6","increase in breaking and entering, fraud and theft of $5,000 or under"
"brantford","6","increase in theft of motor vehicle, homicide, and breaking and entering"
"guelph","1","increase in breaking and entering; partially offset by decrease in theft of $5,000 or under"
"london","7","increase in breaking and entering, fraud and theft of $5,000 or under"
"windsor","21","increase in breaking and entering, fraud, homicide and theft of $5,000 or under (non-shoplifting); partially offset by decrease in robbery"
"barrie","12","increase in breaking and entering and fraud; offset by decrease in homicide"
"greater sudbury","5","increase in breaking and entering, and sexual assault (level 1); partially offset by decrease in child pornography"
"thunder bay","9","increase in breaking and entering; robbery; fraud; trafficking, production and distribution of cannabis (pre-legalization); attempted murder; and homicide"
"winnipeg","10","increase in breaking and entering, robbery, shoplifting of $5,000 or under, fraud, and theft of $5,000 or under"
"regina","10","increase in breaking and entering, theft of motor vehicle, robbery, theft of $5,000 or under (non-shoplifting) and violent firearms violations"
"saskatoon","0","increase in fraud, homicide, and breaking and entering; partially offset by decrease in robbery"
"lethbridge","10","increases in fraud; sexual assault (level 1); trafficking, production or distribution of other drugs; breaking and entering; and assault (level 1 and 2); partially offset by decreases in homicide, other criminal code traffic violations (fail to stop or remain), theft of motor vehicle, robbery"
"calgary","5","increase in breaking and entering, administration of justice violations, as well as robbery; offset by decrease in homicide"
"edmonton","1","increase in shoplifting of $5,000 or under, breaking and entering, and fraud; partially offset by decrease in homicide"
"kelowna","6","increase in breaking and entering; trafficking, production and distribution of methamphetamine; theft under $5,000 (non-shoplifting); identity fraud; and trafficking, production or distribution of opioids (other than heroin); partially offset by decrease in homicide; trafficking, production and distribution of heroin"
"abbotsford-mission","2","increase in breaking and entering, theft of $5,000 or under (non-shoplifting) and sexual assault (level 1); offset by decrease in homicide, attempted murder and aggravated sexual assault (level 3"
"vancouver","-3","decrease in breaking and entering, and theft of motor vehicle"
"victoria","5","increase in fraud; partially offset by decrease in homicide"
