"club","season","division","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"sarpsborg 08","2011","tippeligaen","9","0","1","0","-","-","10","0"
"sarpsborg 08","2012","1. divisjon","26","9","3","1","-","-","29","10"
"sarpsborg 08","2013","tippeligaen","29","6","1","0","-","-","30","6"
"sarpsborg 08","total","total","64","15","5","1","0","0","69","16"
"molde","2014","tippeligaen","30","13","4","4","3","0","37","17"
"molde","2015","tippeligaen","28","12","1","0","12","7","41","19"
"molde","2016","tippeligaen","12","5","1","1","2","0","15","6"
"molde","total","total","70","30","6","5","17","7","93","42"
"basel","2016-17","swiss super league","32","10","4","0","3","0","39","10"
"basel","2017-18","swiss super league","34","12","3","0","8","2","45","14"
"basel","total","total","66","22","7","0","11","2","84","24"
"southampton","2018-19","premier league","15","0","3","0","-","-","18","0"
"southampton","total","total","15","0","3","0","0","0","18","0"
"career total","career total","career total","205","65","21","6","28","9","254","80"
