"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","aus","fin","fra","ger","ire","ita","ned","sui","uk","certifications","album"
"2000","chase the sun","32","20","100","61","22","25","75","93","5","none","non zero sumness"
"2001","inside all the people","-","-","-","-","-","9","-","-","-","none","non zero sumness"
"2002","who said","17","-","-","-","-","-","-","-","36","none","non zero sumness"
"2003","the switch","-","-","74","-","-","19","-","-","52","none","non zero sumness"
"2003","one step closer","-","-","-","-","-","24","-","-","-","none","none"
"2004","stop me","-","-","-","-","-","16","-","-","-","none","the illogical consequence"
"2006","it's your time","-","-","-","-","-","-","-","-","-","none","static"
"2007","static","-","-","-","-","-","-","-","-","-","none","static"
"2009","lemonade","-","-","-","-","-","17","-","-","-","none","planet funk"
"2011","another sunrise","-","-","-","-","-","-","-","-","-","none","the great shake"
"2011","these boots are made for walkin'","-","-","-","-","-","10","-","-","-","none","the great shake"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
