"","name","term","regular season","regular season","regular season","regular season","regular season","regular season","playoffs","playoffs","playoffs","awards","reference"
"","name","term","gc","w","l","t","otl","pts","gc","w","l","awards","reference"
"1","hal laycoe","1970-1972","156","44","96","16","-","104","-","-","-","",""
"2","vic stasiuk","1972-1973","78","22","47","9","-","53","-","-","-","",""
"3","bill mccreary","1973-1974","41","9","25","7","-","25","-","-","-","",""
"4","phil maloney","1974-1977","232","95","105","32","-","222","7","1","6","",""
"5","orland kurtenbach","1977-1978","125","36","62","27","-","99","-","-","-","",""
"6","harry neale","1978-1982","315","106","144","65","-","177","10","2","8","",""
"7","roger neilson","1982-1984","133","51","61","21","-","123","21","12","9","",""
"-","harry neale","1984","32","15","13","4","-","34","4","1","3","",""
"8","bill laforge","1984","20","4","14","2","-","10","-","-","-","",""
"-","harry neale","1984-1985","60","21","32","7","-","49","-","-","-","",""
"9","tom watt","1985-1987","160","52","87","21","-","125","3","0","3","",""
"10","bob mccammon","1987-1991","294","102","156","36","-","240","7","3","4","",""
"11","pat quinn","1991-1994","274","138","108","28","-","304","55","29","26","1992 jack adams award winner",""
"12","rick ley","1994-1996","124","47","50","27","-","121","11","4","7","",""
"-","pat quinn","1996","6","3","3","0","-","6","6","2","4","",""
"13","tom renney","1996-1997","101","39","53","9","-","87","-","-","-","",""
"14","mike keenan","1997-1999","108","36","54","18","-","90","-","-","-","",""
"15","marc crawford","1999-2006","529","246","189","62","32","586","27","12","15","",""
"16","alain vigneault","2006-2013","540","313","170","-","57","683","68","33","35","2007 jack adams award winner",""
"17","john tortorella","2013-2014","82","36","35","-","11","83","-","-","-","",""
"18","willie desjardins","2014-2017","246","109","110","-","27","245","6","2","4","",""
"19","travis green","2017-present","82","31","40","-","11","73","-","-","-","",""
