"","syria","syria","syria","other countries","other countries","other countries"
"","government-assisted refugees","privately sponsored refugees","all refugees","government-assisted refugees","privately sponsored refugees","all refugees"
"","age","age","age","age","age","age"
"age and family characteristics","","","","","",""
"median age at the time of admission","13","26","18","21","25","23"
"","percent","percent","percent","percent","percent","percent"
"admitted between the ages of 0 and 14","53.8","33.4","44.2","33.3","28.2","31.0"
"women among those aged 15 to 29","56.0","48.5","52.2","45.9","48.4","46.9"
"couples with children","94.0","77.8","85.4","59.0","69.0","63.2"
"persons not living in a family","0.9","7.8","4.2","15.9","20.8","18.0"
"","average number","average number","average number","average number","average number","average number"
"average number of children aged 0 to 14 per family with children","3.2","2.2","2.8","2.3","2.1","2.2"
"","percent","percent","percent","percent","percent","percent"
"education and knowledge of official languages, women","","","","","",""
"does not have a high school diploma","71.5","26.7","47.0","56.1","44.4","50.8"
"has a university degree","2.2","25.6","15.0","7.5","11.3","9.2"
"knows at least one official language","16.7","66.5","44.0","67.1","68.2","67.6"
"education and knowledge of official languages, men","","","","","",""
"does not have a high school diploma","70.6","36.2","51.6","47.9","31.5","39.8"
"has a university degree","2.3","23.5","14.0","10.8","13.2","11.9"
"knows at least one official language","21.2","67.2","46.6","69.1","83.2","76.0"
