"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"liverpool","1992-93","premier league","0","0","0","0","0","0","0","0"
"blackpool","1995-96","second division","4","0","0","0","0","0","4","0"
"crewe alexandra","1996-97","second division","32","1","2","0","6","0","40","1"
"crewe alexandra","1997-98","first division","33","3","1","0","2","0","36","3"
"crewe alexandra","1998-99","first division","44","2","1","0","5","0","50","2"
"crewe alexandra","1999-2000","first division","16","1","0","0","5","0","21","1"
"crewe alexandra","2000-01","first division","9","0","0","0","1","0","10","0"
"crewe alexandra","2001-02","first division","23","1","1","0","3","0","27","1"
"crewe alexandra","total","total","157","8","5","0","21","0","184","8"
"port vale","2002-03","second division","18","1","1","0","3","0","22","1"
"bury","2003-04","third division","3","0","0","0","0","0","3","0"
