"australia","first innings","first innings","second innings","second innings"
"batsman","method of dismissal","runs","method of dismissal","runs"
"s. g. barnes","c evans b laker","62","not out","64"
"a. r. morris","b laker","31","b bedser","9"
"* d. g. bradman","c hutton b bedser","138","c hutton b bedser","0"
"k. r. miller","c edrich b laker","0","none","none"
"w. a. brown","lbw b yardley","17","none","none"
"a. l. hassett","b bedser","137","[4] not out","21"
"i. w. g. johnson","b laker","21","none","none"
"+ d. tallon","c & b young","10","none","none"
"r. r. lindwall","c evans b yardley","42","none","none"
"w. a. johnston","not out","17","none","none"
"e. r. h. toshack","lbw b bedser","19","none","none"
"extras","b 9; lb 4; nb 1; w 1","15","lb 2; nb 1; w 1","4"
"total","(216.2 overs)","509","(28.3 overs)","98/2"
