"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"greuther furth","2006-07","2. bundesliga","2","0","0","0","-","-","-","-","2","0"
"greuther furth","2007-08","2. bundesliga","5","0","1","0","-","-","-","-","6","0"
"greuther furth","2009-10","2. bundesliga","29","6","4","1","-","-","-","-","33","7"
"greuther furth","2010-11","2. bundesliga","33","7","2","0","-","-","-","-","35","7"
"greuther furth","totals","totals","69","13","7","1","-","-","-","-","76","14"
"greuther furth ii","2006-07","oberliga bayern","35","10","-","-","-","-","-","-","35","10"
"greuther furth ii","2007-08","oberliga bayern","11","4","-","-","-","-","-","-","11","4"
"greuther furth ii","2008-09","regionalliga sud","16","1","-","-","-","-","-","-","16","1"
"greuther furth ii","2009-10","regionalliga sud","2","1","-","-","-","-","-","-","2","1"
"greuther furth ii","totals","totals","64","16","-","-","-","-","-","-","64","16"
"sv sandhausen","2008-09","3. liga","18","5","-","-","-","-","18","5","none","none"
"mainz 05 ii","2011-12","regionalliga west","1","1","-","-","-","-","1","1","none","none"
"mainz 05","2011-12","bundesliga","23","4","2","0","1","0","-","-","26","4"
"mainz 05","2012-13","bundesliga","32","8","4","1","36","9","-","-","none","none"
"mainz 05","2013-14","bundesliga","26","9","2","1","28","10","-","-","none","none"
"mainz 05","totals","totals","81","21","8","2","1","0","-","-","90","23"
"hamburger sv","2014-15","bundesliga","27","1","1","0","1","1","-","-","29","2"
"hamburger sv","2015-16","bundesliga","29","9","0","0","-","-","29","9","none","none"
"hamburger sv","2016-17","bundesliga","25","5","2","0","-","-","27","5","none","none"
"hamburger sv","2017-18","bundesliga","2","1","1","0","-","-","3","1","none","none"
"hamburger sv","totals","totals","83","16","4","0","-","-","1","1","58","17"
"eintracht frankfurt","2018-19","bundesliga","7","2","1","0","4","0","-","-","12","2"
"hannover 96","2018-19","bundesliga","0","0","0","0","0","0","-","-","none","none"
"career totals","career totals","career totals","323","74","20","3","5","0","1","1","349","78"
"source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:"
