"","predicted probabilities"
"sex",""
"men","0.472"
"women","0.555"
"age group",""
"25 to 34","0.511"
"35 to 54","0.549"
"55 and over","0.401"
"living arrangements",""
"couples without children","0.349"
"couples with children","0.517"
"lone parents","0.560"
"with relatives","0.585"
"alone","0.484"
"household crowding",""
"one person or less per room","0.483"
"more than one person per room","0.560"
"education",""
"did not complete high school","0.547"
"completed high school","0.449"
"labour force status",""
"employed","0.425"
"unemployed","0.770"
"not in the labour force","0.577"
"total household income",""
"below median income","0.606"
"above or equal to median income","0.424"
"strength of extended family ties",""
"moderate to very weak family ties","0.656"
"strong or very strong family ties","0.458"
"geography",""
"rural areas","0.545"
"small population centres","0.447"
