"total","total tuberculosis-related hospital events from hospital file within sdle","total tuberculosis-related hospital events among new immigrants","% of total tuberculosis-related hospital events among new immigrants","estimated % of new immigrant population, from 2011 national household survey"
"overall","7,675","1,340","17","7"
"age at hospitalization","","","",""
"0 to 17 years","460","90","20","7"
"18 to 24 years","630","230","37","8"
"25 to 34 years","1,025","375","37","12"
"35 to 44 years","1,105","220","20","12"
"45 to 64 years","2,005","235","12","5"
"65 years and older","2,450","185","8","2"
"sex","","","",""
"male","4,430","725","16","7"
"female","3,240","615","19","7"
"region of submitting province","","","",""
"atlantic","260","15","6","1"
"ontario","3,235","785","24","8"
"prairies","2,600","335","13","6"
"british columbia","1,580","200","13","7"
"hospital fiscal year","","","",""
"2001 to 2003","1,605","155","10","."
"2004 to 2008","3,015","505","17","."
"2009 to 2013","3,050","680","22","."
