"","aboriginal population","non-aboriginal population","difference"
"","percent","percent","percentage points"
"participation rate","","",""
"canada","75.9","86.7","-10.8"
"atlantic region","81.9","86.3","-4.4"
"quebec","72.1","87.9","-15.8"
"ontario","74.0","85.7","-11.7"
"manitoba","75.9","89.3","-13.4"
"saskatchewan","76.6","90.1","-13.5"
"alberta","79.0","88.0","-9.0"
"british columbia","74.3","85.4","-11.1"
"employment rate","","",""
"canada","67.5","81.8","-14.3"
"atlantic region","71.8","79.2","-7.4"
"quebec","64.3","82.2","-17.9"
"ontario","67.2","81.0","-13.8"
"manitoba","68.2","85.6","-17.4"
"saskatchewan","68.2","86.7","-18.5"
"alberta","69.6","83.4","-13.8"
"british columbia","64.7","81.3","-16.6"
"unemployment rate","","",""
"canada","11.0","5.7","5.3"
"atlantic region","12.3","8.3","4.0"
"quebec","10.9","6.5","4.4"
"ontario","9.2","5.5","3.7"
"manitoba","10.2","4.1","6.1"
"saskatchewan","11.0","3.8","7.2"
"alberta","11.9","5.2","6.7"
"british columbia","12.8","4.8","8.0"
