"age group of accused","females","females","males","males","total","total"
"age group of accused","number","rate","number","rate","number","rate"
"12 to 17","12,273","1,096","29,219","2,469","41,492","1,801"
"18 to 24","16,845","1,043","39,641","2,311","56,486","1,696"
"25 to 34","23,481","922","55,579","2,175","79,060","1,550"
"35 to 44","14,478","596","36,785","1,523","51,263","1,058"
"45 to 54","8,846","353","22,772","906","31,618","630"
"55 to 64","3,999","158","9,642","386","13,641","271"
"65 and older","1,930","61","3,041","112","4,971","85"
"total","81,852","515","196,679","1,260","278,531","884"
